nuclide,Z,A,decay_mode,t12_value,t12_unit,t12_seconds,Qalpha_keV,sigma_Q_keV,Jpi_parent,Jpi_daughter,alpha_branch_pct,ref_t12,ref_Qalpha,ref_Jpi,bucket
Po-209,84,209,alpha,124,y,3.911e9,4979.2,14,1/2-,1/2-,99.546,[BL:S2] NuDat3 Po-209,[BL:S2] NuDat3 Po-209,[BL:S2] NuDat3 Po-209,B
Po-210,84,210,alpha,138.376,d,1.196e7,5407.45,7,0+,0+,100,[BL:S2] NuDat3 Po-210,[BL:S2] NuDat3 Po-210,[BL:S2] NuDat3 Po-210,B
Po-212,84,212,alpha,294.3,ns,2.943e-7,8954.20,0.11,0+,0+,100,[BL:S2] NuDat3 Po-212,[BL:S2] NuDat3 Po-212,[BL:S2] NuDat3 Po-212,B
Po-214,84,214,alpha,163.46,us,1.635e-4,7833.54,6,0+,0+,100,[BL:S2] NuDat3 Po-214,[BL:S2] NuDat3 Po-214,[BL:S2] NuDat3 Po-214,B
Po-216,84,216,alpha,0.145,s,0.145,6906.3,5,0+,0+,100,[BL:S2] NuDat3 Po-216,[BL:S2] NuDat3 Po-216,[BL:S2] NuDat3 Po-216,B
Rn-220,86,220,alpha,55.6,s,55.6,6404.66,10,0+,0+,100,[BL:S2] NuDat3 Rn-220,[BL:S2] NuDat3 Rn-220,[BL:S2] NuDat3 Rn-220,B
Rn-222,86,222,alpha,3.8222,d,3.303e5,5590.4,3,0+,0+,100,[BL:S2] NuDat3 Rn-222,[BL:S2] NuDat3 Rn-222,[BL:S2] NuDat3 Rn-222,B
Ra-226,88,226,alpha,1600,y,5.049e10,4870.62,0.25,0+,0+,100,[BL:S2] NuDat3 Ra-226,[BL:S2] NuDat3 Ra-226,[BL:S2] NuDat3 Ra-226,B
Th-228,90,228,alpha,1.9116,y,6.030e7,5520.08,22,0+,0+,100,[BL:S2] NuDat3 Th-228,[BL:S2] NuDat3 Th-228,[BL:S2] NuDat3 Th-228,A
Th-232,90,232,alpha,1.40e10,y,4.418e17,4081.6,14,0+,0+,100,[BL:S2] NuDat3 Th-232,[BL:S2] NuDat3 Th-232,[BL:S2] NuDat3 Th-232,A
U-234,92,234,alpha,2.455e5,y,7.746e12,4857.5,7,0+,0+,100,[BL:S2] NuDat3 U-234,[BL:S2] NuDat3 U-234,[BL:S2] NuDat3 U-234,A
U-235,92,235,alpha,7.04e8,y,2.221e16,4678.2,7,7/2-,5/2+,100,[BL:S2] NuDat3 U-235,[BL:S2] NuDat3 U-235,[BL:S2] NuDat3 U-235,A
U-238,92,238,alpha,4.468e9,y,1.410e17,4269.7,7,0+,0+,100,[BL:S2] NuDat3 U-238,[BL:S2] NuDat3 U-238,[BL:S2] NuDat3 U-238,A
Pu-238,94,238,alpha,87.7,y,2.767e9,5593.20,19,0+,0+,100,[BL:S2] NuDat3 Pu-238,[BL:S2] NuDat3 Pu-238,[BL:S2] NuDat3 Pu-238,A
Pu-240,94,240,alpha,6561,y,2.070e11,5255.82,14,0+,0+,100,[BL:S2] NuDat3 Pu-240,[BL:S2] NuDat3 Pu-240,[BL:S2] NuDat3 Pu-240,A
Cm-244,96,244,alpha,18.11,y,5.714e8,5901.60,5,0+,0+,100,[BL:S2] NuDat3 Cm-244,[BL:S2] NuDat3 Cm-244,[BL:S2] NuDat3 Cm-244,A
Am-241,95,241,alpha,432.6,y,1.365e10,5637.82,12,5/2-,5/2+,100,[BL:S2] NuDat3 Am-241,[BL:S2] NuDat3 Am-241,[BL:S2] NuDat3 Am-241,A
