nuclide,Z,A,t12_value,t12_unit,t12_seconds,Qalpha_keV,Jpi_parent,Jpi_daughter,delta_J,parity_flip,hindrance_class,alpha_BR,n_A,d_n,bucket
Po-209,84,209,124,y,3.911e9,4979.2,1/2-,5/2-,2,no,H0,0.995,36.20,0.20,B
Po-210,84,210,138.376,d,1.196e7,5407.45,0+,0+,0,no,H0,1.000,36.26,0.26,B
Po-212,84,212,294.3,ns,2.943e-7,8954.20,0+,0+,0,no,H0,1.000,36.39,0.39,B
Po-214,84,214,163.46,us,1.635e-4,7833.54,0+,0+,0,no,H0,1.000,36.50,0.50,B
Po-215,84,215,1.781,ms,1.781e-3,7526.3,9/2+,9/2+,0,no,H0,1.000,36.56,0.56,B
Po-216,84,216,0.145,s,0.145,6906.3,0+,0+,0,no,H0,1.000,36.61,0.61,B
At-211,85,211,7.214,h,2.597e4,5982.4,9/2-,9/2-,0,no,H0,0.418,36.32,0.32,B
At-217,85,217,32.6,ms,3.26e-2,7201.4,9/2-,9/2-,0,no,H0,1.000,36.67,0.67,B
Rn-219,86,219,3.96,s,3.96,6946.2,5/2+,9/2+,2,no,H0,1.000,36.77,0.77,B
Rn-220,86,220,55.6,s,55.6,6404.66,0+,0+,0,no,H0,1.000,36.83,0.83,B
Rn-222,86,222,3.8222,d,3.303e5,5590.4,0+,0+,0,no,H0,1.000,36.94,0.94,B
Fr-221,87,221,4.9,m,294,6457.8,5/2-,9/2-,2,no,H0,1.000,36.88,0.88,B
Ra-223,88,223,11.43,d,9.876e5,5978.99,3/2+,5/2+,1,no,H0,1.000,36.99,0.99,B
Ra-226,88,226,1600,y,5.049e10,4870.62,0+,0+,0,no,H0,1.000,37.16,1.16,A
Th-228,90,228,1.9116,y,6.030e7,5520.08,0+,0+,0,no,H0,1.000,37.26,1.26,A
Th-230,90,230,75584,y,2.385e12,4770.0,0+,0+,0,no,H0,1.000,37.37,1.37,A
Th-232,90,232,1.40e10,y,4.418e17,4081.6,0+,0+,0,no,H0,1.000,37.48,1.48,A
U-233,92,233,1.59e5,y,5.019e12,4908.7,5/2+,5/2+,0,no,H0,1.000,37.54,1.54,A
U-234,92,234,2.455e5,y,7.746e12,4857.5,0+,0+,0,no,H0,1.000,37.59,1.59,A
U-235,92,235,7.04e8,y,2.221e16,4678.2,7/2-,5/2+,1,yes,H1,1.000,37.65,1.65,A
U-238,92,238,4.468e9,y,1.410e17,4269.7,0+,0+,0,no,H0,1.000,37.81,1.81,A
Np-237,93,237,2.144e6,y,6.764e13,4958.5,5/2+,5/2+,0,no,H0,1.000,37.76,1.76,A
Pu-238,94,238,87.7,y,2.767e9,5593.20,0+,0+,0,no,H0,1.000,37.81,1.81,A
Pu-239,94,239,24110,y,7.606e11,5244.50,1/2+,5/2+,2,no,H0,1.000,37.86,1.86,A
Pu-240,94,240,6561,y,2.070e11,5255.82,0+,0+,0,no,H0,1.000,37.91,1.91,A
Pu-242,94,242,3.73e5,y,1.177e13,4984.2,0+,0+,0,no,H0,1.000,38.02,2.02,A
Am-241,95,241,432.6,y,1.365e10,5637.82,5/2-,5/2+,0,yes,H1,1.000,37.96,1.96,A
Am-243,95,243,7364,y,2.323e11,5438.8,5/2-,5/2+,0,yes,H1,1.000,38.07,2.07,A
Cm-244,96,244,18.11,y,5.714e8,5901.60,0+,0+,0,no,H0,1.000,38.12,2.12,A
Cm-246,96,246,4706,y,1.485e11,5475.1,0+,0+,0,no,H0,1.000,38.23,2.23,A
Cm-248,96,248,3.48e5,y,1.098e13,5161.81,0+,0+,0,no,H0,0.916,38.34,2.34,A
Cf-252,98,252,2.647,y,8.350e7,6216.95,0+,0+,0,no,H0,0.969,38.56,2.56,A
