nuclide,Z,A,t12_value,t12_unit,t12_seconds,Qalpha_keV,Jpi_parent,Jpi_daughter,delta_J,parity_flip,hindrance_class,alpha_BR,n_A,d_n,bucket,source
Po-209,84,209,124,y,3.911e9,4979.2,1/2-,5/2-,2,no,H0,0.995,36.20,0.20,B,V7.2
Po-210,84,210,138.376,d,1.196e7,5407.45,0+,0+,0,no,H0,1.000,36.26,0.26,B,V7.2
Po-211,84,211,0.516,s,0.516,7594.5,9/2+,1/2-,4,yes,H2,1.000,36.32,0.32,B,V7.3
Po-212,84,212,294.3,ns,2.943e-7,8954.20,0+,0+,0,no,H0,1.000,36.39,0.39,B,V7.2
Po-213,84,213,3.706,us,3.706e-6,8536,9/2+,9/2+,0,no,H0,1.000,36.44,0.44,B,V7.3
Po-214,84,214,163.46,us,1.635e-4,7833.54,0+,0+,0,no,H0,1.000,36.50,0.50,B,V7.2
Po-215,84,215,1.781,ms,1.781e-3,7526.3,9/2+,9/2+,0,no,H0,1.000,36.56,0.56,B,V7.2
Po-216,84,216,0.145,s,0.145,6906.3,0+,0+,0,no,H0,1.000,36.61,0.61,B,V7.2
At-211,85,211,7.214,h,2.597e4,5982.4,9/2-,9/2-,0,no,H0,0.418,36.32,0.32,B,V7.2
At-215,85,215,0.10,ms,1.0e-4,8178,9/2-,9/2-,0,no,H0,1.000,36.56,0.56,B,V7.3
At-216,85,216,0.30,ms,3.0e-4,7950,1-,1-,0,no,H0,1.000,36.61,0.61,B,V7.3
At-217,85,217,32.6,ms,3.26e-2,7201.4,9/2-,9/2-,0,no,H0,1.000,36.67,0.67,B,V7.2
At-218,85,218,1.28,s,1.28,6874,3-,1-,2,no,H0,0.9995,36.72,0.72,B,V7.3
Rn-217,86,217,0.54,ms,5.4e-4,7887.2,9/2+,9/2+,0,no,H0,1.000,36.67,0.67,B,V7.3
Rn-218,86,218,33.75,ms,3.375e-2,7262.5,0+,0+,0,no,H0,1.000,36.72,0.72,B,V7.3
Rn-219,86,219,3.96,s,3.96,6946.2,5/2+,9/2+,2,no,H0,1.000,36.77,0.77,B,V7.2
Rn-220,86,220,55.6,s,55.6,6404.66,0+,0+,0,no,H0,1.000,36.83,0.83,B,V7.2
Rn-222,86,222,3.8222,d,3.303e5,5590.4,0+,0+,0,no,H0,1.000,36.94,0.94,B,V7.2
Fr-219,87,219,24,ms,2.4e-2,7448.6,9/2-,9/2-,0,no,H0,1.000,36.77,0.77,B,V7.3
Fr-221,87,221,4.9,m,294,6457.8,5/2-,9/2-,2,no,H0,1.000,36.88,0.88,B,V7.2
Ra-223,88,223,11.43,d,9.876e5,5978.99,3/2+,5/2+,1,no,H0,1.000,36.99,0.99,B,V7.2
Ra-226,88,226,1600,y,5.049e10,4870.62,0+,0+,0,no,H0,1.000,37.16,1.16,A,V7.2
Ac-225,89,225,9.920,d,8.571e5,5935.1,3/2-,5/2-,1,no,H0,1.000,37.10,1.10,A,V7.3
Th-228,90,228,1.9116,y,6.030e7,5520.08,0+,0+,0,no,H0,1.000,37.26,1.26,A,V7.2
Th-229,90,229,7907,y,2.495e11,5167.6,5/2+,1/2+,2,no,H0,1.000,37.32,1.32,A,V7.3
Th-230,90,230,75584,y,2.385e12,4770.0,0+,0+,0,no,H0,1.000,37.37,1.37,A,V7.2
Th-232,90,232,1.40e10,y,4.418e17,4081.6,0+,0+,0,no,H0,1.000,37.48,1.48,A,V7.2
U-233,92,233,1.59e5,y,5.019e12,4908.7,5/2+,5/2+,0,no,H0,1.000,37.54,1.54,A,V7.2
U-234,92,234,2.455e5,y,7.746e12,4857.5,0+,0+,0,no,H0,1.000,37.59,1.59,A,V7.2
U-235,92,235,7.04e8,y,2.221e16,4678.2,7/2-,5/2+,1,yes,H1,1.000,37.65,1.65,A,V7.2
U-238,92,238,4.468e9,y,1.410e17,4269.7,0+,0+,0,no,H0,1.000,37.81,1.81,A,V7.2
Np-237,93,237,2.144e6,y,6.764e13,4958.5,5/2+,5/2+,0,no,H0,1.000,37.76,1.76,A,V7.2
Pu-238,94,238,87.7,y,2.767e9,5593.20,0+,0+,0,no,H0,1.000,37.81,1.81,A,V7.2
Pu-239,94,239,24110,y,7.606e11,5244.50,1/2+,5/2+,2,no,H0,1.000,37.86,1.86,A,V7.2
Pu-240,94,240,6561,y,2.070e11,5255.82,0+,0+,0,no,H0,1.000,37.91,1.91,A,V7.2
Pu-242,94,242,3.73e5,y,1.177e13,4984.2,0+,0+,0,no,H0,1.000,38.02,2.02,A,V7.2
Am-241,95,241,432.6,y,1.365e10,5637.82,5/2-,5/2+,0,yes,H1,1.000,37.96,1.96,A,V7.2
Am-243,95,243,7364,y,2.323e11,5438.8,5/2-,5/2+,0,yes,H1,1.000,38.07,2.07,A,V7.2
Cm-244,96,244,18.11,y,5.714e8,5901.60,0+,0+,0,no,H0,1.000,38.12,2.12,A,V7.2
Cm-246,96,246,4706,y,1.485e11,5475.1,0+,0+,0,no,H0,1.000,38.23,2.23,A,V7.2
Cm-248,96,248,3.48e5,y,1.098e13,5161.81,0+,0+,0,no,H0,0.916,38.34,2.34,A,V7.2
Cf-249,98,249,351,y,1.108e10,6293.3,9/2-,7/2+,1,yes,H1,1.000,38.39,2.39,A,V7.3
Cf-250,98,250,13.08,y,4.128e8,6128.44,0+,0+,0,no,H0,0.999,38.45,2.45,A,V7.3
Cf-251,98,251,898,y,2.833e10,6177.0,1/2+,9/2-,4,yes,H2,1.000,38.50,2.50,A,V7.3
Cf-252,98,252,2.647,y,8.350e7,6216.95,0+,0+,0,no,H0,0.969,38.56,2.56,A,V7.2
