Symbol,LaTeX,Name,Meaning,Domain,Units,Canon_Status,Canon_Anchor,Book2_Anchor,Collision_Risk,Resolution
M⁵,\mathcal{M}^5,5D manifold,Complete 5D bulk spacetime = M⁴ × S¹_ξ,5D bulk,—,CANON-PRIMARY,"Fwk v2.0 Eq.(1), p.2",05_three_generations:§manifold,NONE,—
M⁴,\mathcal{M}^4,4D spacetime,Observable 4D spacetime manifold,5D bulk,—,CANON,Fwk v2.0 Eq.(1),—,NONE,—
Σ³,\Sigma^3,3D brane,Observable 3D spatial hypersurface,brane,—,CANON-PRIMARY,"Fwk v2.0 Eq.(2), §2.1",05_case_neutron:5 uses,NONE,—
S¹,S^1,Circle,Compact circle topology,topology,—,CANON,Fwk v2.0 §1.1,—,NONE,—
S¹_ξ,S^1_\xi,ξ-circle,Circle parameterized by ξ,topology,—,CANON,Fwk v2.0 Eq.(1),—,NONE,—
B³,B^3,3-ball,Electron configuration space,topology,—,CANON,Fwk v2.0 §5.1,—,NONE,—
S³,S^3,3-sphere,Proton angular space,topology,—,CANON,Fwk v2.0 §5.2,04b_proton_anchor,NONE,—
ξ,\xi,5D depth,Compact coordinate ∈ [0 2πR_ξ),5D bulk,m,CANON-PRIMARY,"Fwk v2.0 Eq.(3), p.3",910 uses,NONE,—
x^μ,x^\mu,4D coords,Spacetime coordinates (μ=0 1 2 3),4D,m,CANON,Fwk v2.0 Eq.(3),—,NONE,—
z (3D),z,3D spatial,Cartesian z-coordinate,3D,m,CANON,—,(x y z) tuples only,HIGH,Use ONLY in (x y z)
z₁,z_1,Z6 complex,Complex root 1 in Z6 program,Z6,—,CANON,Fwk v2.0 §11,—,LOW,OK for Z6 only
z₂,z_2,Z6 complex,Complex root 2 in Z6 program,Z6,—,CANON,Fwk v2.0 §11,—,LOW,OK for Z6 only
ξ_i,\xi_i,Generation position,5D depth of generation i,5D bulk,m,WORKING,—,07_ckm_cp:460-462,NONE,—
R_ξ,R_\xi or \Rxi,Compactification radius,Size of S¹_ξ circle,5D bulk,m,CANON-PRIMARY,"Fwk v2.0 Def.1.1, p.3",382 uses,NONE,—
ℓ_P,\ell_P,Planck length,Quantum gravity scale,units,m,CANON,Fwk v2.0 Def.1.1,—,NONE,—
r_e,r_e,Knot radius,Topological knot scale,topology,m,CANON,Fwk v2.0 Def.1.1,—,NONE,—
δ,\delta,Brane thickness,Effective membrane width,brane,m,CANON,Fwk v2.0 §2.3,—,LOW,—
κ,\kappa,Penetration depth⁻¹,Inverse localization scale,BVP,m⁻¹,WORKING,—,06_neutrinos:*,LOW,—
σ,\sigma,Brane tension,Membrane surface tension,brane,MeV/fm²,CANON-PRIMARY,"Fwk v2.0 Eq.(10), 31 anchors",—,NONE,—
η,\eta,Bulk viscosity,5D fluid viscosity,5D bulk,—,CANON,Fwk v2.0 §3.2,—,LOW,Context: η_bulk vs η_metric
M_{5 Pl},M_{5\mathrm{Pl}},5D Planck mass,Fundamental 5D gravity scale,5D bulk,GeV,CANON,Fwk v2.0 §2.2,ch14:276 280 297 305,NONE,Disambiguated from manifold
m_e,m_e,Electron mass,Observed electron mass,SM,MeV/c²,CANON,"Book I p.57, 142 anchors",—,NONE,—
m_p,m_p,Proton mass,Observed proton mass,SM,MeV/c²,CANON,"Book I p.68, 36 anchors",—,NONE,—
m_n,m_n,Neutron mass,Observed neutron mass,SM,MeV/c²,CANON,Fwk v2.0 §10,05_case_neutron,NONE,—
m_μ,m_\mu,Muon mass,Observed muon mass,SM,MeV/c²,CANON,Fwk v2.0 §15,06_case_muon,NONE,—
m_τ,m_\tau,Tau mass,Observed tau mass,SM,MeV/c²,CANON,Fwk v2.0 §15.7,07_case_tau,NONE,—
Δm_np,\Delta m_{np},n-p mass split,Neutron-proton mass difference,SM,MeV/c²,CANON,"Fwk v2.0 §10.5, 1 anchor",—,NONE,—
G₅,G_5,5D Newton,5D gravitational coupling,5D bulk,m³/kg/s²,CANON,Fwk v2.0 Eq.(9),8 uses,NONE,—
G₄,G_4,4D Newton,Observed gravitational constant,SM,m³/kg/s²,CANON,Fwk v2.0,—,NONE,—
G_F,G_F,Fermi constant,Weak interaction coupling,SM,GeV⁻²,CANON,Fwk v2.0 §14,11_gf_derivation,NONE,—
g₅,g_5,5D gauge,5D gauge coupling,5D bulk,—,WORKING,—,11_gf:*,LOW,—
α,\alpha,Fine structure,Electromagnetic coupling,SM,—,CANON,"Book I p.57, 11 anchors",—,NONE,—
A_μ,A_\mu,KK photon,Electromagnetic gauge field,SM,—,CANON,Fwk v2.0 Eq.(3),—,NONE,—
g_μν,g_{\mu\nu},4D metric,Induced metric on brane,brane,—,CANON,Fwk v2.0 Eq.(3),—,NONE,—
G_AB,G_{AB},5D metric,Bulk metric tensor,5D bulk,—,CANON,Fwk v2.0,—,NONE,—
Ψ,\Psi,5D fermion,Bulk fermion field,5D bulk,—,WORKING,—,09_va:*,LOW,—
φ,\phi,Scalar/mediator,Scalar field or mediator,varies,—,WORKING,—,ch11_*:*,LOW,Context-dependent
J^A,J^A,5D current,Energy-momentum current,5D bulk,—,CANON,Fwk v2.0 Def.3.2,—,NONE,—
J^ν_{b→b},\Jbb{\nu},Bulk-brane flux,Energy current from bulk to brane,brane,—,CANON-PRIMARY,Fwk v2.0 Rmk.4.5,—,NONE,>0 = INFLOW
θ,\theta,Angular position,Position on Z6 ring,Z6,rad,CANON,Fwk v2.0 §10.2,—,NONE,—
q,q,Asymmetry param,Junction asymmetry parameter,Z6,—,CANON,Fwk v2.0 Def.10.1,—,NONE,—
Z₆,Z_6 or \mathbb{Z}_6,Z6 group,Y-junction discrete symmetry = Z₃ × Z₂,Z6,—,CANON,"Fwk v2.0 §9, 5 anchors",05_three_gen:*,NONE,—
Z₃,Z_3 or \mathbb{Z}_3,Generation group,Three-generation subgroup,Z6,—,CANON,Fwk v2.0 §9,—,NONE,—
Z₂,Z_2 or \mathbb{Z}_2,Matter/antimatter,Matter-antimatter subgroup,Z6,—,CANON,Fwk v2.0 §9,—,NONE,—
V₀,V_0,Well depth,Z6-symmetric potential minimum,Z6,MeV,CANON,Fwk v2.0 §9.3,—,NONE,—
