nuclide,Z,A,t12_value,t12_unit,t12_seconds,Qalpha_keV,Jpi_parent,Jpi_daughter,delta_J,parity_flip,hindrance_class,alpha_BR,n_A,d_n,ee_oa_oo,BL_source,notes
Bi-211,83,211,2.14,m,128.4,6751,9/2-,1/2+,4,yes,H2,0.9972,36.32,0.32,oa,S2,V7.4
Bi-212,83,212,60.55,m,3633,6207,1-,5+,4,yes,H2,0.3594,36.38,0.38,oo,S2,V7.4
Po-206,84,206,8.8,d,760320,5327.2,0+,0+,0,no,H0,0.0545,36.04,0.04,ee,S2,V7.4
Po-208,84,208,2.898,y,91410048,5215.7,0+,0+,0,no,H0,1.000,36.14,0.14,ee,S2,V7.4
Po-209,84,209,124,y,3.911e9,4979.2,1/2-,5/2-,2,no,H0,0.995,36.20,0.20,oa,S2,V7.2
Po-210,84,210,138.376,d,1.196e7,5407.45,0+,0+,0,no,H0,1.000,36.26,0.26,ee,S2,V7.2
Po-211,84,211,0.516,s,0.516,7594.5,9/2+,1/2-,4,yes,H2,1.000,36.32,0.32,oa,S2,V7.3
Po-212,84,212,294.3,ns,2.943e-7,8954.20,0+,0+,0,no,H0,1.000,36.38,0.38,ee,S2,V7.2
Po-213,84,213,3.706,us,3.706e-6,8536,9/2+,9/2+,0,no,H0,1.000,36.44,0.44,oa,S2,V7.3
Po-214,84,214,163.46,us,1.635e-4,7833.54,0+,0+,0,no,H0,1.000,36.50,0.50,ee,S2,V7.2
Po-215,84,215,1.781,ms,1.781e-3,7526.3,9/2+,9/2+,0,no,H0,1.000,36.56,0.56,oa,S2,V7.2
Po-216,84,216,0.145,s,0.145,6906.3,0+,0+,0,no,H0,1.000,36.61,0.61,ee,S2,V7.2
Po-217,84,217,1.47,s,1.47,6662,9/2+,9/2+,0,no,H0,0.95,36.67,0.67,oa,S2,V7.4
Po-218,84,218,3.098,m,185.88,6114.7,0+,0+,0,no,H0,0.9998,36.72,0.72,ee,S2,V7.4
