nuclide,Z,A,Q_keV,t12_exp_s,log10_t12_exp,n_coord,d_n,log10_t12_pred,residual,split
Bi-211,83,211,6751.0,128.4,2.109,36.32,0.32,23.285,-21.177,train
Bi-212,83,212,6207.0,3633.0,3.560,36.37,0.37,25.402,-21.842,train
Po-206,84,206,5327.2,760320.0,5.881,36.03,0.03,29.992,-24.111,train
Po-208,84,208,5215.7,91410048.0,7.961,36.14,0.14,30.625,-22.664,train
Po-209,84,209,4979.2,3911000000.0,9.592,36.20,0.20,31.966,-22.374,train
Po-210,84,210,5407.45,11960000.0,7.078,36.26,0.26,29.658,-22.581,train
Po-211,84,211,7594.5,0.516,-0.287,36.32,0.32,21.046,-21.334,train
Po-212,84,212,8954.2,2.943e-07,-6.531,36.37,0.37,17.380,-23.911,train
Po-213,84,213,8536.0,3.706e-06,-5.431,36.43,0.43,18.439,-23.870,train
Po-214,84,214,7833.54,0.0001635,-3.786,36.49,0.49,20.389,-24.176,train
Po-215,84,215,7526.3,0.001781,-2.749,36.54,0.54,21.337,-24.086,train
Po-216,84,216,6906.3,0.145,-0.839,36.60,0.60,23.414,-24.253,train
Po-217,84,217,6662.0,1.47,0.167,36.66,0.66,24.323,-24.155,train
Po-218,84,218,6114.7,185.88,2.269,36.71,0.71,26.523,-24.254,train
At-207,85,207,5872.0,6480.0,3.812,36.08,0.08,27.998,-24.186,train
At-209,85,209,5758.0,19476.0,4.289,36.20,0.20,28.567,-24.278,train
At-210,85,210,5631.7,29160.0,4.465,36.26,0.26,29.192,-24.727,train
At-211,85,211,5982.4,25970.0,4.414,36.32,0.32,27.581,-23.167,train
At-212,85,212,7828.0,0.314,-0.503,36.37,0.37,20.912,-21.416,train
At-213,85,213,9254.0,1.25e-07,-6.903,36.43,0.43,17.201,-24.104,train
At-215,85,215,8178.0,0.0001,-4.000,36.54,0.54,19.967,-23.967,train
At-216,85,216,7950.0,0.0003,-3.523,36.60,0.60,20.634,-24.157,train
At-217,85,217,7201.4,0.0326,-1.487,36.66,0.66,22.992,-24.479,train
At-218,85,218,6874.0,1.28,0.107,36.71,0.71,24.152,-24.045,train
At-219,85,219,6390.0,56.0,1.748,36.77,0.77,26.016,-24.268,train
Rn-210,86,210,6159.0,8640.0,3.937,36.26,0.26,27.410,-23.473,train
Rn-211,86,211,5965.0,52560.0,4.721,36.32,0.32,28.285,-23.564,train
Rn-212,86,212,6385.0,1434.0,3.157,36.37,0.37,26.503,-23.347,train
Rn-213,86,213,8243.0,0.0195,-1.710,36.43,0.43,20.280,-21.990,train
Rn-214,86,214,9208.0,2.7e-07,-6.569,36.49,0.49,17.832,-24.401,train
Rn-215,86,215,8840.0,2.3e-06,-5.638,36.54,0.54,18.745,-24.384,train
Rn-216,86,216,8200.0,4.5e-05,-4.347,36.60,0.60,20.460,-24.807,train
Rn-217,86,217,7887.2,0.00054,-3.268,36.66,0.66,21.382,-24.649,train
Rn-218,86,218,7262.5,0.03375,-1.472,36.71,0.71,23.375,-24.847,train
Rn-219,86,219,6946.2,3.96,0.598,36.77,0.77,24.494,-23.896,train
Rn-220,86,220,6404.66,55.6,1.745,36.82,0.82,26.581,-24.836,train
Rn-221,86,221,6148.0,1500.0,3.176,36.88,0.88,27.675,-24.499,train
Rn-222,86,222,5590.4,330300.0,5.519,36.94,0.94,30.278,-24.759,train
Fr-212,87,212,6529.0,1200.0,3.079,36.37,0.37,26.524,-23.445,train
Fr-217,87,217,8471.0,1.68e-05,-4.775,36.66,0.66,20.264,-25.039,train
Fr-218,87,218,8014.0,0.001,-3.000,36.71,0.71,21.570,-24.570,train
Fr-219,87,219,7448.6,0.024,-1.620,36.77,0.77,23.341,-24.961,train
Fr-220,87,220,6800.5,27.4,1.438,36.82,0.82,25.632,-24.194,train
Fr-221,87,221,6457.8,294.0,2.468,36.88,0.88,26.988,-24.520,train
Ra-220,88,220,7593.4,0.0179,-1.747,36.82,0.82,23.449,-25.196,train
Ra-221,88,221,6879.6,28.0,1.447,36.88,0.88,25.941,-24.493,train
Ra-222,88,222,6678.0,36.17,1.558,36.94,0.94,26.729,-25.171,train
Ra-223,88,223,5978.99,987600.0,5.995,36.99,0.99,29.710,-23.715,train
Ra-224,88,224,5788.9,313798.0,5.497,37.05,1.05,30.626,-25.129,train
Ra-226,88,226,4870.62,50490000000.0,10.703,37.16,1.16,35.712,-25.009,train
Ac-223,89,223,6783.0,126.0,2.100,36.99,0.99,26.931,-24.831,train
Ac-224,89,224,6328.0,10008.0,4.000,37.05,1.05,28.798,-24.797,train
Ac-225,89,225,5935.1,857100.0,5.933,37.10,1.10,30.580,-24.647,train
Ac-226,89,226,5536.0,105732.0,5.024,37.16,1.16,32.579,-27.554,train
Th-226,90,226,6452.6,1834.2,3.263,37.16,1.16,28.913,-25.650,train
Th-227,90,227,6146.3,1614336.0,6.208,37.21,1.21,30.267,-24.059,train
Th-228,90,228,5520.08,60300000.0,7.780,37.27,1.27,33.352,-25.571,train
Th-229,90,229,5167.6,249500000000.0,11.397,37.32,1.32,35.336,-23.939,train
Th-230,90,230,4770.0,2385000000000.0,12.377,37.37,1.37,37.829,-25.452,train
Th-232,90,232,4081.6,4.418e+17,17.645,37.48,1.48,42.977,-25.332,train
Pa-227,91,227,6582.0,2298.0,3.361,37.21,1.21,28.993,-25.632,train
Pa-231,91,231,5149.8,1033000000000.0,12.014,37.43,1.43,36.153,-24.139,train
U-230,92,230,5992.5,1797120.0,6.255,37.37,1.37,32.282,-26.027,train
U-232,92,232,5413.6,2174000000.0,9.337,37.48,1.48,35.316,-25.979,train
U-233,92,233,4908.7,5019000000000.0,12.701,37.54,1.54,38.370,-25.670,train
U-234,92,234,4857.5,7746000000000.0,12.889,37.59,1.59,38.723,-25.834,train
U-235,92,235,4678.2,2.221e+16,16.347,37.64,1.64,39.954,-23.607,train
U-236,92,236,4572.6,739000000000000.0,14.869,37.70,1.70,40.720,-25.851,train
U-238,92,238,4269.7,1.41e+17,17.149,37.80,1.80,43.052,-25.903,train
Np-236,93,236,5020.0,4860000000000.0,12.687,37.70,1.70,38.401,-25.714,train
Np-237,93,237,4958.5,67640000000000.0,13.830,37.75,1.75,38.812,-24.982,train
Pu-236,94,236,5867.1,90160000.0,7.955,37.70,1.70,34.269,-26.314,train
Pu-238,94,238,5593.2,2767000000.0,9.442,37.80,1.80,35.743,-26.301,train
Pu-239,94,239,5244.5,760600000000.0,11.881,37.86,1.86,37.751,-25.869,train
Pu-240,94,240,5255.82,207000000000.0,11.316,37.91,1.91,37.701,-26.385,train
Pu-242,94,242,4984.2,11770000000000.0,13.071,38.01,2.01,39.425,-26.354,train
Pu-244,94,244,4665.5,2525000000000000.0,15.402,38.12,2.12,41.625,-26.223,train
Am-241,95,241,5637.82,13650000000.0,10.135,37.96,1.96,36.202,-26.066,train
Am-243,95,243,5438.8,232300000000.0,11.366,38.07,2.07,37.348,-25.982,train
Cm-242,96,242,6215.6,14066112.0,7.148,38.01,2.01,33.919,-26.771,train
Cm-243,96,243,6168.8,918000000.0,8.963,38.07,2.07,34.160,-25.198,train
Cm-244,96,244,5901.6,571400000.0,8.757,38.12,2.12,35.503,-26.746,train
Cm-245,96,245,5624.5,268200000000.0,11.428,38.17,2.17,36.992,-25.564,train
Cm-246,96,246,5475.1,148500000000.0,11.172,38.22,2.22,37.850,-26.678,train
Cm-247,96,247,5353.8,492100000000000.0,14.692,38.27,2.27,38.575,-23.883,train
Cm-248,96,248,5161.81,10980000000000.0,13.041,38.32,2.32,39.763,-26.722,train
Cm-250,96,250,5169.0,261900000000.0,11.418,38.43,2.43,39.754,-28.336,train
Bk-245,97,245,6453.0,426816.0,5.630,38.17,2.17,33.482,-27.852,train
Bk-246,97,246,6188.0,155520.0,5.192,38.22,2.22,34.738,-29.546,train
Bk-247,97,247,5889.0,43640000000.0,10.640,38.27,2.27,36.252,-25.612,train
Cf-249,98,249,6293.3,11080000000.0,10.045,38.38,2.38,34.901,-24.856,train
Cf-250,98,250,6128.44,412800000.0,8.616,38.43,2.43,35.718,-27.102,train
Cf-251,98,251,6177.0,28330000000.0,10.452,38.48,2.48,35.497,-25.045,train
Cf-252,98,252,6216.95,83500000.0,7.922,38.53,2.53,35.321,-27.399,train
Es-250,99,250,6859.0,30960.0,4.491,38.43,2.43,32.985,-28.495,train
Es-251,99,251,6598.0,118800.0,5.075,38.48,2.48,34.136,-29.061,train
Es-252,99,252,6790.4,40750000.0,7.610,38.53,2.53,33.313,-25.702,train
Es-253,99,253,6739.0,1768608.0,6.248,38.58,2.58,33.552,-27.304,train
Es-254,99,254,6617.2,23820000.0,7.377,38.63,2.63,34.104,-26.727,train
Es-255,99,255,6436.0,3438720.0,6.536,38.68,2.68,34.945,-28.408,train
Fm-252,100,252,7153.0,91404.0,4.961,38.53,2.53,32.392,-27.431,train
Fm-253,100,253,7199.0,259200.0,5.414,38.58,2.58,32.227,-26.813,train
Fm-254,100,254,7307.4,11664.0,4.067,38.63,2.63,31.820,-27.753,train
Fm-255,100,255,7241.0,72252.0,4.859,38.68,2.68,32.097,-27.238,train
Fm-256,100,256,7027.0,9456.0,3.976,38.73,2.73,32.974,-28.998,train
Fm-257,100,257,6863.5,8683200.0,6.939,38.78,2.78,33.675,-26.736,train
