variant,level,kappa,c0,a,tau,q_B,q_n,V_B,V_B_vs_cal_pct,has_metastability
helfrich_L1_polynomial,L1,0.088200,0.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,5.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,30.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,70.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,0.0000,0.0500,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,0.0000,0.1000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,0.0000,0.2000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,0.0000,0.0500,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,0.0000,0.1000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,0.0000,0.2000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,0.0000,0.0500,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,0.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,0.0000,0.2000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,0.0000,0.0500,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,0.0000,0.1000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,0.0000,0.2000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,10.0000,0.0500,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,10.0000,0.1000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,10.0000,0.2000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,10.0000,0.0500,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,10.0000,0.1000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,10.0000,0.2000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,10.0000,0.0500,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,10.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,10.0000,0.2000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,10.0000,0.0500,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,10.0000,0.1000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,10.0000,0.2000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,20.0000,0.0500,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,20.0000,0.1000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,20.0000,0.2000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,20.0000,0.0500,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,20.0000,0.1000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,20.0000,0.2000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,20.0000,0.0500,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,20.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,20.0000,0.2000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,20.0000,0.0500,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,20.0000,0.1000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,20.0000,0.2000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,50.0000,0.0500,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,50.0000,0.1000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,50.0000,0.2000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,50.0000,0.0500,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,50.0000,0.1000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,50.0000,0.2000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,50.0000,0.0500,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,50.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,50.0000,0.2000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,50.0000,0.0500,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,50.0000,0.1000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,50.0000,0.2000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,100.0000,0.0500,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,100.0000,0.1000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,100.0000,0.2000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,100.0000,0.0500,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,100.0000,0.1000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,100.0000,0.2000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,100.0000,0.0500,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,100.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,100.0000,0.2000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,100.0000,0.0500,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,100.0000,0.1000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.044100,100.0000,0.2000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.0500,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.1000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.2000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.0500,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.1000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.2000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.0500,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.2000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.0500,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.1000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,0.0000,0.2000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.0500,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.1000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.2000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.0500,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.1000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.2000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.0500,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.2000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.0500,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.1000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,10.0000,0.2000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.0500,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.1000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.2000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.0500,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.1000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.2000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.0500,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.2000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.0500,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.1000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,20.0000,0.2000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.0500,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.1000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.2000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.0500,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.1000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.2000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.0500,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.2000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.0500,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.1000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,50.0000,0.2000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.0500,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.1000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.2000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.0500,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.1000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.2000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.0500,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.2000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.0500,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.1000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.088200,100.0000,0.2000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,0.0000,0.0500,1.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,0.0000,0.1000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,0.0000,0.2000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,0.0000,0.0500,2.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,0.0000,0.1000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,0.0000,0.2000,2.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,0.0000,0.0500,5.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,0.0000,0.1000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,0.0000,0.2000,5.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,0.0000,0.0500,10.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,0.0000,0.1000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,0.0000,0.2000,10.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,10.0000,0.0500,1.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,10.0000,0.1000,1.00,,,,,False
helfrich_L2_polynomial,L2,0.176400,10.0000,0.2000,1.00,,,,,False
