mechanism,C,E0,tau,k,q_n,q_B,V_B,Delta_m,V_B_over_2Dm_B,V_B_vs_cal_pct,has_metastability
A1,0.5000,0.0441,1.00,0.00,,,,,,,False
A1,0.5000,0.0441,2.00,0.00,,,,,,,False
A1,0.5000,0.0441,5.00,0.00,,,,,,,False
A1,0.5000,0.0441,10.00,0.00,,,,,,,False
A1,1.0000,0.0882,1.00,0.00,,,,,,,False
A1,1.0000,0.0882,2.00,0.00,,,,,,,False
A1,1.0000,0.0882,5.00,0.00,,,,,,,False
A1,1.0000,0.0882,10.00,0.00,,,,,,,False
A1,2.0000,0.1764,1.00,0.00,,,,,,,False
A1,2.0000,0.1764,2.00,0.00,,,,,,,False
A1,2.0000,0.1764,5.00,0.00,,,,,,,False
A1,2.0000,0.1764,10.00,0.00,,,,,,,False
A1,3.1416,0.2771,1.00,0.00,,,,,,,False
A1,3.1416,0.2771,2.00,0.00,,,,,,,False
A1,3.1416,0.2771,5.00,0.00,,,,,,,False
A1,3.1416,0.2771,10.00,0.00,,,,,,,False
A1,6.2832,0.5542,1.00,0.00,,,,,,,False
A1,6.2832,0.5542,2.00,0.00,,,,,,,False
A1,6.2832,0.5542,5.00,0.00,,,,,,,False
A1,6.2832,0.5542,10.00,0.00,,,,,,,False
A2,0.5000,0.0441,1.00,0.00,,,,,,,False
A2,0.5000,0.0441,2.00,0.00,,,,,,,False
A2,0.5000,0.0441,5.00,0.00,,,,,,,False
A2,0.5000,0.0441,10.00,0.00,,,,,,,False
A2,1.0000,0.0882,1.00,0.00,,,,,,,False
A2,1.0000,0.0882,2.00,0.00,,,,,,,False
A2,1.0000,0.0882,5.00,0.00,,,,,,,False
A2,1.0000,0.0882,10.00,0.00,,,,,,,False
A2,2.0000,0.1764,1.00,0.00,,,,,,,False
A2,2.0000,0.1764,2.00,0.00,,,,,,,False
A2,2.0000,0.1764,5.00,0.00,,,,,,,False
A2,2.0000,0.1764,10.00,0.00,,,,,,,False
A2,3.1416,0.2771,1.00,0.00,,,,,,,False
A2,3.1416,0.2771,2.00,0.00,,,,,,,False
A2,3.1416,0.2771,5.00,0.00,,,,,,,False
A2,3.1416,0.2771,10.00,0.00,,,,,,,False
A2,6.2832,0.5542,1.00,0.00,,,,,,,False
A2,6.2832,0.5542,2.00,0.00,,,,,,,False
A2,6.2832,0.5542,5.00,0.00,,,,,,,False
A2,6.2832,0.5542,10.00,0.00,,,,,,,False
