variant,tau,L0,k,sigma,delta,q_n,q_B,V_B,Delta_m_model,V_B_vs_cal_pct,has_metastability
flat_bulk_toy,10.0,1.0,0.0,8.82,0.1,,,,,,False
warped_RS_like,5.0,1.0,2.0,8.82,0.1,1.675102,,,787.665764,,False
warped_plus_node_well,2.0,1.0,1.0,0.0,0.1,1.149257,,,-12.882092,,False
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.476187,0.602011,8.016118,-8.230934,208.31,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.974461,1.193152,7.608957,-6.857468,192.65,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.954545,0.947002,7.039349,-6.885505,170.74,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.928876,0.606658,6.619468,-6.918258,154.59,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.484125,0.527081,12.966786,-13.220427,398.72,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.982996,1.139678,12.492773,-11.845422,380.49,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.969767,0.864268,11.900718,-11.864067,357.72,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.488090,0.456705,17.943164,-18.215159,590.12,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.987252,1.104064,17.418178,-16.839405,569.93,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.977339,0.808185,16.817774,-16.853356,546.84,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.989803,1.077542,22.364082,-21.835795,760.16,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.981875,0.765556,21.761176,-21.846924,736.97,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.991503,1.056501,27.322055,-26.833389,950.85,True
warped_plus_node_well,1.0,1.0,1.0,0.0,0.1,1.984897,0.730978,26.719585,-26.842630,927.68,True
warped_plus_node_well,2.0,1.0,1.0,0.0,0.1,1.452183,0.725462,6.295966,-6.524865,142.15,True
warped_plus_node_well,2.0,1.0,1.0,0.0,0.1,1.948464,1.297086,5.697087,-3.787653,119.12,True
warped_plus_node_well,2.0,1.0,1.0,0.0,0.1,1.907622,1.106789,4.707408,-3.900960,81.05,True
warped_plus_node_well,2.0,1.0,1.0,0.0,0.1,1.854115,0.902182,3.902080,-4.044103,50.08,True
warped_plus_node_well,2.0,1.0,1.0,0.0,0.1,1.468229,0.652623,11.125694,-11.482853,327.91,True
warped_plus_node_well,2.0,1.0,1.0,0.0,0.1,1.965875,1.233999,10.402073,-8.739080,300.08,True
