k_ring/k_leg,m0/m_out,gamma,ic_type,status,t_relax_strict,t_relax_q,t_relax_D,t_relax_V,omega_min,T_slowest,cheat_q,cheat_D,cheat_V
0.10,0.30,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,0.3704,16.96,False,True,True
0.10,0.30,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,0.3704,16.96,True,False,False
0.10,0.30,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,0.3704,16.96,True,True,False
0.10,0.30,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3704,16.96,False,True,True
0.10,0.30,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3704,16.96,True,False,False
0.10,0.30,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3704,16.96,True,True,False
0.10,0.30,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3704,16.96,False,True,True
0.10,0.30,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,815.6,642.7,0.3704,16.96,True,True,True
0.10,0.30,0.0200,ring_mode,RELAXED_STRICT,659.5,N/A,N/A,659.5,0.3704,16.96,True,True,False
0.10,0.30,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3704,16.96,False,True,True
0.10,0.30,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,95.8,86.6,0.3704,16.96,True,True,True
0.10,0.30,0.2000,ring_mode,RELAXED_STRICT,88.9,N/A,N/A,88.9,0.3704,16.96,True,True,False
0.10,1.00,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,0.3443,18.25,False,True,True
0.10,1.00,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,0.3443,18.25,True,False,False
0.10,1.00,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,0.3443,18.25,True,True,False
0.10,1.00,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3443,18.25,False,True,True
0.10,1.00,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3443,18.25,True,False,False
0.10,1.00,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3443,18.25,True,True,False
0.10,1.00,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3443,18.25,False,True,True
0.10,1.00,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,725.6,0.3443,18.25,True,False,True
0.10,1.00,0.0200,ring_mode,RELAXED_STRICT,661.9,N/A,N/A,659.8,0.3443,18.25,True,True,False
0.10,1.00,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3443,18.25,False,True,True
0.10,1.00,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,121.1,94.5,0.3443,18.25,True,True,True
0.10,1.00,0.2000,ring_mode,RELAXED_STRICT,91.3,N/A,N/A,91.3,0.3443,18.25,True,True,False
0.10,3.00,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,0.3107,20.22,False,True,True
0.10,3.00,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,0.3107,20.22,True,False,False
0.10,3.00,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,0.3107,20.22,True,True,False
0.10,3.00,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3107,20.22,False,True,True
0.10,3.00,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3107,20.22,True,False,False
0.10,3.00,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3107,20.22,True,True,False
0.10,3.00,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3107,20.22,False,True,True
0.10,3.00,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,685.3,0.3107,20.22,True,False,True
0.10,3.00,0.0200,ring_mode,RELAXED_STRICT,663.1,N/A,N/A,663.1,0.3107,20.22,True,True,False
0.10,3.00,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.3107,20.22,False,True,True
0.10,3.00,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,131.3,95.9,0.3107,20.22,True,True,True
0.10,3.00,0.2000,ring_mode,RELAXED_STRICT,93.6,N/A,N/A,93.6,0.3107,20.22,True,True,False
0.30,0.30,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,0.6401,9.82,False,True,True
0.30,0.30,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,0.6401,9.82,True,False,False
0.30,0.30,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,0.6401,9.82,True,True,False
0.30,0.30,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.6401,9.82,False,True,True
0.30,0.30,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.6401,9.82,True,False,False
0.30,0.30,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.6401,9.82,True,True,False
0.30,0.30,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.6401,9.82,False,True,True
0.30,0.30,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,682.9,644.5,0.6401,9.82,True,True,True
0.30,0.30,0.0200,ring_mode,RELAXED_STRICT,653.0,N/A,N/A,649.1,0.6401,9.82,True,True,False
0.30,0.30,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.6401,9.82,False,True,True
0.30,0.30,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,85.9,75.9,0.6401,9.82,True,True,True
0.30,0.30,0.2000,ring_mode,RELAXED_STRICT,76.7,N/A,N/A,76.7,0.6401,9.82,True,True,False
0.30,1.00,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,0.5879,10.69,False,True,True
0.30,1.00,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,0.5879,10.69,True,False,False
0.30,1.00,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,0.5879,10.69,True,True,False
0.30,1.00,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.5879,10.69,False,True,True
0.30,1.00,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.5879,10.69,True,False,False
0.30,1.00,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.5879,10.69,True,True,False
0.30,1.00,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.5879,10.69,False,True,True
0.30,1.00,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,798.3,621.0,0.5879,10.69,True,True,True
0.30,1.00,0.0200,ring_mode,RELAXED_STRICT,654.7,N/A,N/A,650.8,0.5879,10.69,True,True,False
0.30,1.00,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.5879,10.69,False,True,True
0.30,1.00,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,94.7,75.9,0.5879,10.69,True,True,True
0.30,1.00,0.2000,ring_mode,RELAXED_STRICT,78.3,N/A,N/A,78.3,0.5879,10.69,True,True,False
0.30,3.00,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,0.5172,12.15,False,True,True
0.30,3.00,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,0.5172,12.15,True,False,False
0.30,3.00,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,0.5172,12.15,True,True,False
0.30,3.00,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.5172,12.15,False,True,True
0.30,3.00,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.5172,12.15,True,False,False
0.30,3.00,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.5172,12.15,True,True,False
0.30,3.00,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.5172,12.15,False,True,True
0.30,3.00,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,678.4,0.5172,12.15,True,False,True
0.30,3.00,0.0200,ring_mode,RELAXED_STRICT,655.2,N/A,N/A,653.3,0.5172,12.15,True,True,False
0.30,3.00,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.5172,12.15,False,True,True
0.30,3.00,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,118.8,81.8,0.5172,12.15,True,True,True
0.30,3.00,0.2000,ring_mode,RELAXED_STRICT,80.9,N/A,N/A,80.9,0.5172,12.15,True,True,False
1.00,0.30,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,1.1572,5.43,False,True,True
1.00,0.30,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,1.1572,5.43,True,False,False
1.00,0.30,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,1.1572,5.43,True,True,False
1.00,0.30,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.1572,5.43,False,True,True
1.00,0.30,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.1572,5.43,True,False,False
1.00,0.30,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.1572,5.43,True,True,False
1.00,0.30,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.1572,5.43,False,True,True
1.00,0.30,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,735.3,582.6,1.1572,5.43,True,True,True
1.00,0.30,0.0200,ring_mode,RELAXED_STRICT,648.2,N/A,N/A,646.8,1.1572,5.43,True,True,False
1.00,0.30,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.1572,5.43,False,True,True
1.00,0.30,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,78.6,64.5,1.1572,5.43,True,True,True
1.00,0.30,0.2000,ring_mode,RELAXED_STRICT,70.5,N/A,N/A,70.5,1.1572,5.43,True,True,False
1.00,1.00,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,1.0000,6.28,False,True,True
1.00,1.00,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,1.0000,6.28,True,False,False
1.00,1.00,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,1.0000,6.28,True,True,False
1.00,1.00,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.0000,6.28,False,True,True
1.00,1.00,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.0000,6.28,True,False,False
1.00,1.00,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.0000,6.28,True,True,False
1.00,1.00,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.0000,6.28,False,True,True
1.00,1.00,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,943.5,624.6,1.0000,6.28,True,True,True
1.00,1.00,0.0200,ring_mode,RELAXED_STRICT,648.4,N/A,N/A,648.4,1.0000,6.28,True,True,False
1.00,1.00,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.0000,6.28,False,True,True
1.00,1.00,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,92.9,69.3,1.0000,6.28,True,True,True
1.00,1.00,0.2000,ring_mode,RELAXED_STRICT,72.0,N/A,N/A,72.0,1.0000,6.28,True,True,False
1.00,3.00,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,0.7962,7.89,False,True,True
1.00,3.00,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,0.7962,7.89,True,False,False
1.00,3.00,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,0.7962,7.89,True,True,False
1.00,3.00,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.7962,7.89,False,True,True
1.00,3.00,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.7962,7.89,True,False,False
1.00,3.00,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.7962,7.89,True,True,False
1.00,3.00,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.7962,7.89,False,True,True
1.00,3.00,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,990.4,663.4,0.7962,7.89,True,True,True
1.00,3.00,0.0200,ring_mode,RELAXED_STRICT,650.0,N/A,N/A,650.0,0.7962,7.89,True,True,False
1.00,3.00,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.7962,7.89,False,True,True
1.00,3.00,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,107.5,75.4,0.7962,7.89,True,True,True
1.00,3.00,0.2000,ring_mode,RELAXED_STRICT,73.9,N/A,N/A,73.9,0.7962,7.89,True,True,False
3.00,0.30,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,1.8902,3.32,False,True,True
3.00,0.30,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,1.8902,3.32,True,False,False
3.00,0.30,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,1.8902,3.32,True,True,False
3.00,0.30,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.8902,3.32,False,True,True
3.00,0.30,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.8902,3.32,True,False,False
3.00,0.30,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.8902,3.32,True,True,False
3.00,0.30,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.8902,3.32,False,True,True
3.00,0.30,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,436.3,582.1,1.8902,3.32,True,True,True
3.00,0.30,0.0200,ring_mode,RELAXED_STRICT,647.2,N/A,N/A,642.5,1.8902,3.32,True,True,False
3.00,0.30,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.8902,3.32,False,True,True
3.00,0.30,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,43.1,63.2,1.8902,3.32,True,True,True
3.00,0.30,0.2000,ring_mode,RELAXED_STRICT,68.1,N/A,N/A,68.1,1.8902,3.32,True,True,False
3.00,1.00,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,1.3028,4.82,False,True,True
3.00,1.00,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,1.3028,4.82,True,False,False
3.00,1.00,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,1.3028,4.82,True,True,False
3.00,1.00,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.3028,4.82,False,True,True
3.00,1.00,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.3028,4.82,True,False,False
3.00,1.00,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.3028,4.82,True,True,False
3.00,1.00,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.3028,4.82,False,True,True
3.00,1.00,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,920.5,640.7,1.3028,4.82,True,True,True
3.00,1.00,0.0200,ring_mode,RELAXED_STRICT,648.2,N/A,N/A,644.5,1.3028,4.82,True,True,False
3.00,1.00,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.3028,4.82,False,True,True
3.00,1.00,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,96.9,69.2,1.3028,4.82,True,True,True
3.00,1.00,0.2000,ring_mode,RELAXED_STRICT,70.0,N/A,N/A,69.4,1.3028,4.82,True,True,False
3.00,3.00,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,0.9374,6.70,False,True,True
3.00,3.00,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,0.9374,6.70,True,False,False
3.00,3.00,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,0.9374,6.70,True,True,False
3.00,3.00,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.9374,6.70,False,True,True
3.00,3.00,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.9374,6.70,True,False,False
3.00,3.00,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.9374,6.70,True,True,False
3.00,3.00,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.9374,6.70,False,True,True
3.00,3.00,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,948.8,650.3,0.9374,6.70,True,True,True
3.00,3.00,0.0200,ring_mode,RELAXED_STRICT,650.0,N/A,N/A,647.4,0.9374,6.70,True,True,False
3.00,3.00,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.9374,6.70,False,True,True
3.00,3.00,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,101.3,72.2,0.9374,6.70,True,True,True
3.00,3.00,0.2000,ring_mode,RELAXED_STRICT,72.1,N/A,N/A,72.1,0.9374,6.70,True,True,False
10.00,0.30,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,2.2874,2.75,False,True,True
10.00,0.30,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,2.2874,2.75,True,False,False
10.00,0.30,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,2.2874,2.75,True,True,False
10.00,0.30,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,2.2874,2.75,False,True,True
10.00,0.30,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,2.2874,2.75,True,False,False
10.00,0.30,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,2.2874,2.75,True,True,False
10.00,0.30,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,2.2874,2.75,False,True,True
10.00,0.30,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,866.9,624.1,2.2874,2.75,True,True,True
10.00,0.30,0.0200,ring_mode,RELAXED_STRICT,646.3,N/A,N/A,642.5,2.2874,2.75,True,True,False
10.00,0.30,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,2.2874,2.75,False,True,True
10.00,0.30,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,89.3,65.3,2.2874,2.75,True,True,True
10.00,0.30,0.2000,ring_mode,RELAXED_STRICT,67.3,N/A,N/A,67.0,2.2874,2.75,True,True,False
10.00,1.00,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,1.3879,4.53,False,True,True
10.00,1.00,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,1.3879,4.53,True,False,False
10.00,1.00,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,1.3879,4.53,True,True,False
10.00,1.00,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.3879,4.53,False,True,True
10.00,1.00,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.3879,4.53,True,False,False
10.00,1.00,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.3879,4.53,True,True,False
10.00,1.00,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.3879,4.53,False,True,True
10.00,1.00,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,922.2,637.9,1.3879,4.53,True,True,True
10.00,1.00,0.0200,ring_mode,RELAXED_STRICT,646.5,N/A,N/A,646.0,1.3879,4.53,True,True,False
10.00,1.00,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,1.3879,4.53,False,True,True
10.00,1.00,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,96.7,68.8,1.3879,4.53,True,True,True
10.00,1.00,0.2000,ring_mode,RELAXED_STRICT,69.4,N/A,N/A,69.4,1.3879,4.53,True,True,False
10.00,3.00,0.0000,symmetric_push,CONSERVATIVE,N/A,N/A,N/A,N/A,0.9826,6.39,False,True,True
10.00,3.00,0.0000,doublet,CONSERVATIVE,N/A,N/A,N/A,N/A,0.9826,6.39,True,False,False
10.00,3.00,0.0000,ring_mode,CONSERVATIVE,N/A,N/A,N/A,N/A,0.9826,6.39,True,True,False
10.00,3.00,0.0020,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.9826,6.39,False,True,True
10.00,3.00,0.0020,doublet,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.9826,6.39,True,False,False
10.00,3.00,0.0020,ring_mode,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.9826,6.39,True,True,False
10.00,3.00,0.0200,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.9826,6.39,False,True,True
10.00,3.00,0.0200,doublet,RELAXED_PARTIAL,N/A,N/A,926.8,641.5,0.9826,6.39,True,True,True
10.00,3.00,0.0200,ring_mode,RELAXED_STRICT,649.1,N/A,N/A,647.5,0.9826,6.39,True,True,False
10.00,3.00,0.2000,symmetric_push,RELAXED_PARTIAL,N/A,N/A,N/A,N/A,0.9826,6.39,False,True,True
10.00,3.00,0.2000,doublet,RELAXED_PARTIAL,N/A,N/A,98.9,71.0,0.9826,6.39,True,True,True
10.00,3.00,0.2000,ring_mode,RELAXED_STRICT,71.9,N/A,N/A,71.9,0.9826,6.39,True,True,False
