k_ring/k_leg,m0/m_out,gamma,ic_type,t_relax_q,t_relax_full,t_effective_q_rms,omega_min,E_initial,status
0.10,0.30,0.0000,symmetric_push,N/A,N/A,N/A,0.370,0.0770,CONSERVATIVE
0.10,0.30,0.0000,doublet,N/A,N/A,N/A,0.370,0.0520,CONSERVATIVE
0.10,0.30,0.0000,ring_mode,N/A,N/A,84.80,0.370,0.0038,CONSERVATIVE
0.10,0.30,0.0010,symmetric_push,N/A,N/A,N/A,0.370,0.0770,NOT_RELAXED
0.10,0.30,0.0010,doublet,N/A,N/A,N/A,0.370,0.0520,NOT_RELAXED
0.10,0.30,0.0010,ring_mode,N/A,N/A,N/A,0.370,0.0038,NOT_RELAXED
0.10,0.30,0.0100,symmetric_push,N/A,N/A,N/A,0.370,0.0770,NOT_RELAXED
0.10,0.30,0.0100,doublet,124.40,N/A,N/A,0.370,0.0520,NOT_RELAXED
0.10,0.30,0.0100,ring_mode,N/A,268.20,N/A,0.370,0.0038,RELAXED
0.10,0.30,0.1000,symmetric_push,N/A,N/A,N/A,0.370,0.0770,NOT_RELAXED
0.10,0.30,0.1000,doublet,N/A,N/A,N/A,0.370,0.0520,NOT_RELAXED
0.10,0.30,0.1000,ring_mode,N/A,28.50,N/A,0.370,0.0038,RELAXED
0.10,1.00,0.0000,symmetric_push,N/A,N/A,N/A,0.344,0.0770,CONSERVATIVE
0.10,1.00,0.0000,doublet,N/A,N/A,N/A,0.344,0.0520,CONSERVATIVE
0.10,1.00,0.0000,ring_mode,N/A,N/A,91.20,0.344,0.0038,CONSERVATIVE
0.10,1.00,0.0010,symmetric_push,N/A,N/A,N/A,0.344,0.0770,NOT_RELAXED
0.10,1.00,0.0010,doublet,65.00,N/A,N/A,0.344,0.0520,NOT_RELAXED
0.10,1.00,0.0010,ring_mode,N/A,N/A,N/A,0.344,0.0038,NOT_RELAXED
0.10,1.00,0.0100,symmetric_push,99.10,N/A,N/A,0.344,0.0770,NOT_RELAXED
0.10,1.00,0.0100,doublet,84.60,N/A,N/A,0.344,0.0520,NOT_RELAXED
0.10,1.00,0.0100,ring_mode,N/A,268.20,N/A,0.344,0.0038,RELAXED
0.10,1.00,0.1000,symmetric_push,N/A,N/A,N/A,0.344,0.0770,NOT_RELAXED
0.10,1.00,0.1000,doublet,N/A,N/A,N/A,0.344,0.0520,NOT_RELAXED
0.10,1.00,0.1000,ring_mode,N/A,28.50,N/A,0.344,0.0038,RELAXED
0.10,3.00,0.0000,symmetric_push,N/A,N/A,N/A,0.311,0.0770,CONSERVATIVE
0.10,3.00,0.0000,doublet,N/A,N/A,N/A,0.311,0.0520,CONSERVATIVE
0.10,3.00,0.0000,ring_mode,N/A,N/A,N/A,0.311,0.0038,CONSERVATIVE
0.10,3.00,0.0010,symmetric_push,105.10,N/A,N/A,0.311,0.0770,NOT_RELAXED
0.10,3.00,0.0010,doublet,60.70,N/A,N/A,0.311,0.0520,NOT_RELAXED
0.10,3.00,0.0010,ring_mode,N/A,N/A,N/A,0.311,0.0038,NOT_RELAXED
0.10,3.00,0.0100,symmetric_push,94.50,N/A,N/A,0.311,0.0770,NOT_RELAXED
0.10,3.00,0.0100,doublet,40.10,N/A,N/A,0.311,0.0520,NOT_RELAXED
0.10,3.00,0.0100,ring_mode,N/A,268.20,N/A,0.311,0.0038,RELAXED
0.10,3.00,0.1000,symmetric_push,N/A,N/A,N/A,0.311,0.0770,NOT_RELAXED
0.10,3.00,0.1000,doublet,N/A,N/A,N/A,0.311,0.0520,NOT_RELAXED
0.10,3.00,0.1000,ring_mode,N/A,28.50,N/A,0.311,0.0038,RELAXED
0.30,0.30,0.0000,symmetric_push,N/A,N/A,N/A,0.640,0.0770,CONSERVATIVE
0.30,0.30,0.0000,doublet,N/A,N/A,N/A,0.640,0.0661,CONSERVATIVE
0.30,0.30,0.0000,ring_mode,N/A,N/A,49.00,0.640,0.0055,CONSERVATIVE
0.30,0.30,0.0010,symmetric_push,N/A,N/A,N/A,0.640,0.0770,NOT_RELAXED
0.30,0.30,0.0010,doublet,N/A,N/A,N/A,0.640,0.0661,NOT_RELAXED
0.30,0.30,0.0010,ring_mode,N/A,N/A,N/A,0.640,0.0055,NOT_RELAXED
0.30,0.30,0.0100,symmetric_push,N/A,N/A,N/A,0.640,0.0770,NOT_RELAXED
0.30,0.30,0.0100,doublet,112.50,N/A,N/A,0.640,0.0661,NOT_RELAXED
0.30,0.30,0.0100,ring_mode,N/A,306.10,N/A,0.640,0.0055,RELAXED
0.30,0.30,0.1000,symmetric_push,N/A,N/A,N/A,0.640,0.0770,NOT_RELAXED
0.30,0.30,0.1000,doublet,N/A,N/A,N/A,0.640,0.0661,NOT_RELAXED
0.30,0.30,0.1000,ring_mode,N/A,30.40,N/A,0.640,0.0055,RELAXED
0.30,1.00,0.0000,symmetric_push,N/A,N/A,N/A,0.588,0.0770,CONSERVATIVE
0.30,1.00,0.0000,doublet,N/A,N/A,N/A,0.588,0.0661,CONSERVATIVE
0.30,1.00,0.0000,ring_mode,N/A,N/A,53.40,0.588,0.0055,CONSERVATIVE
0.30,1.00,0.0010,symmetric_push,N/A,N/A,N/A,0.588,0.0770,NOT_RELAXED
0.30,1.00,0.0010,doublet,N/A,N/A,N/A,0.588,0.0661,NOT_RELAXED
0.30,1.00,0.0010,ring_mode,N/A,N/A,N/A,0.588,0.0055,NOT_RELAXED
0.30,1.00,0.0100,symmetric_push,N/A,N/A,N/A,0.588,0.0770,NOT_RELAXED
0.30,1.00,0.0100,doublet,101.70,N/A,N/A,0.588,0.0661,NOT_RELAXED
0.30,1.00,0.0100,ring_mode,N/A,306.10,N/A,0.588,0.0055,RELAXED
0.30,1.00,0.1000,symmetric_push,N/A,N/A,N/A,0.588,0.0770,NOT_RELAXED
0.30,1.00,0.1000,doublet,N/A,N/A,N/A,0.588,0.0661,NOT_RELAXED
0.30,1.00,0.1000,ring_mode,N/A,30.40,N/A,0.588,0.0055,RELAXED
0.30,3.00,0.0000,symmetric_push,N/A,N/A,N/A,0.517,0.0770,CONSERVATIVE
0.30,3.00,0.0000,doublet,N/A,N/A,N/A,0.517,0.0661,CONSERVATIVE
0.30,3.00,0.0000,ring_mode,N/A,N/A,60.70,0.517,0.0055,CONSERVATIVE
0.30,3.00,0.0010,symmetric_push,31.20,N/A,N/A,0.517,0.0770,NOT_RELAXED
0.30,3.00,0.0010,doublet,14.10,N/A,N/A,0.517,0.0661,NOT_RELAXED
0.30,3.00,0.0010,ring_mode,N/A,N/A,N/A,0.517,0.0055,NOT_RELAXED
0.30,3.00,0.0100,symmetric_push,31.20,N/A,N/A,0.517,0.0770,NOT_RELAXED
0.30,3.00,0.0100,doublet,14.20,N/A,N/A,0.517,0.0661,NOT_RELAXED
0.30,3.00,0.0100,ring_mode,N/A,306.10,N/A,0.517,0.0055,RELAXED
0.30,3.00,0.1000,symmetric_push,N/A,N/A,N/A,0.517,0.0770,NOT_RELAXED
0.30,3.00,0.1000,doublet,4.40,N/A,N/A,0.517,0.0661,NOT_RELAXED
0.30,3.00,0.1000,ring_mode,N/A,30.40,N/A,0.517,0.0055,RELAXED
1.00,0.30,0.0000,symmetric_push,N/A,N/A,N/A,1.157,0.0770,CONSERVATIVE
1.00,0.30,0.0000,doublet,N/A,N/A,N/A,1.157,0.1155,CONSERVATIVE
1.00,0.30,0.0000,ring_mode,N/A,N/A,27.10,1.157,0.0116,CONSERVATIVE
1.00,0.30,0.0010,symmetric_push,N/A,N/A,N/A,1.157,0.0770,NOT_RELAXED
1.00,0.30,0.0010,doublet,344.60,N/A,N/A,1.157,0.1155,NOT_RELAXED
1.00,0.30,0.0010,ring_mode,N/A,N/A,N/A,1.157,0.0116,NOT_RELAXED
1.00,0.30,0.0100,symmetric_push,N/A,N/A,N/A,1.157,0.0770,NOT_RELAXED
1.00,0.30,0.0100,doublet,118.30,N/A,N/A,1.157,0.1155,NOT_RELAXED
1.00,0.30,0.0100,ring_mode,N/A,363.20,N/A,1.157,0.0116,RELAXED
1.00,0.30,0.1000,symmetric_push,N/A,N/A,N/A,1.157,0.0770,NOT_RELAXED
1.00,0.30,0.1000,doublet,N/A,N/A,N/A,1.157,0.1155,NOT_RELAXED
1.00,0.30,0.1000,ring_mode,N/A,36.50,N/A,1.157,0.0116,RELAXED
1.00,1.00,0.0000,symmetric_push,N/A,N/A,N/A,1.000,0.0770,CONSERVATIVE
1.00,1.00,0.0000,doublet,N/A,N/A,N/A,1.000,0.1155,CONSERVATIVE
1.00,1.00,0.0000,ring_mode,N/A,N/A,31.40,1.000,0.0116,CONSERVATIVE
1.00,1.00,0.0010,symmetric_push,N/A,N/A,N/A,1.000,0.0770,NOT_RELAXED
1.00,1.00,0.0010,doublet,N/A,N/A,N/A,1.000,0.1155,NOT_RELAXED
1.00,1.00,0.0010,ring_mode,N/A,N/A,N/A,1.000,0.0116,NOT_RELAXED
1.00,1.00,0.0100,symmetric_push,N/A,N/A,N/A,1.000,0.0770,NOT_RELAXED
1.00,1.00,0.0100,doublet,171.20,N/A,N/A,1.000,0.1155,NOT_RELAXED
1.00,1.00,0.0100,ring_mode,N/A,363.20,N/A,1.000,0.0116,RELAXED
1.00,1.00,0.1000,symmetric_push,N/A,N/A,N/A,1.000,0.0770,NOT_RELAXED
1.00,1.00,0.1000,doublet,N/A,N/A,N/A,1.000,0.1155,NOT_RELAXED
1.00,1.00,0.1000,ring_mode,N/A,36.50,N/A,1.000,0.0116,RELAXED
1.00,3.00,0.0000,symmetric_push,N/A,N/A,N/A,0.796,0.0770,CONSERVATIVE
1.00,3.00,0.0000,doublet,N/A,N/A,N/A,0.796,0.1155,CONSERVATIVE
1.00,3.00,0.0000,ring_mode,N/A,N/A,39.40,0.796,0.0116,CONSERVATIVE
1.00,3.00,0.0010,symmetric_push,27.00,N/A,N/A,0.796,0.0770,NOT_RELAXED
1.00,3.00,0.0010,doublet,N/A,N/A,N/A,0.796,0.1155,NOT_RELAXED
1.00,3.00,0.0010,ring_mode,N/A,N/A,N/A,0.796,0.0116,NOT_RELAXED
1.00,3.00,0.0100,symmetric_push,27.00,N/A,N/A,0.796,0.0770,NOT_RELAXED
1.00,3.00,0.0100,doublet,N/A,N/A,N/A,0.796,0.1155,NOT_RELAXED
1.00,3.00,0.0100,ring_mode,N/A,363.20,N/A,0.796,0.0116,RELAXED
1.00,3.00,0.1000,symmetric_push,N/A,N/A,N/A,0.796,0.0770,NOT_RELAXED
