eq_label,chapter,descriptor,epistemic_tag,source_file
eq:tau_n_baseline,ch03_neutron_metastable,,\tagBL,./chapters/ch03_neutron_metastable.tex
eq:delta_m_np,ch03_neutron_metastable,endequation,\tagBL,./chapters/ch03_neutron_metastable.tex
eq:VB_conjecture,ch03_neutron_metastable,,,./chapters/ch03_neutron_metastable.tex
eq:SE_numeric,ch09_tau_n_prediction,endequation,\tagDc,./chapters/ch09_tau_n_prediction.tex
eq:exp_factor,ch09_tau_n_prediction,,,./chapters/ch09_tau_n_prediction.tex
eq:omega0,ch09_tau_n_prediction,,\tagP,./chapters/ch09_tau_n_prediction.tex
eq:hbar_omega,ch09_tau_n_prediction,,,./chapters/ch09_tau_n_prediction.tex
eq:tau_formula,ch09_tau_n_prediction,,,./chapters/ch09_tau_n_prediction.tex
eq:tau_result,ch09_tau_n_prediction,,,./chapters/ch09_tau_n_prediction.tex
eq:contact_area,ch04_sigma_to_K,endequation,\tagDc,./chapters/ch04_sigma_to_K.tex
eq:mismatch_energy,ch04_sigma_to_K,endequation,\tagDc,./chapters/ch04_sigma_to_K.tex
eq:H_pin,ch04_sigma_to_K,,,./chapters/ch04_sigma_to_K.tex
eq:f_factor,ch04_sigma_to_K,endequation,\tagI,./chapters/ch04_sigma_to_K.tex
eq:K_formula,ch04_sigma_to_K,With:,\tagDcI,./chapters/ch04_sigma_to_K.tex
eq:K_numerical,ch04_sigma_to_K,,\tagDcI,./chapters/ch04_sigma_to_K.tex
eq:winding_bc,ch07_kappa_homotopy,endequation,,./chapters/ch07_kappa_homotopy.tex
eq:pi1_S1,ch07_kappa_homotopy,,,./chapters/ch07_kappa_homotopy.tex
eq:delta_w,ch07_kappa_homotopy,,\tagP,./chapters/ch07_kappa_homotopy.tex
eq:angular_integral,ch07_kappa_homotopy,,,./chapters/ch07_kappa_homotopy.tex
eq:SE_canonical,ch07_kappa_homotopy,endequation,\tagDc,./chapters/ch07_kappa_homotopy.tex
eq:SE_full,ch07_kappa_homotopy,,,./chapters/ch07_kappa_homotopy.tex
eq:kappa_result,ch07_kappa_homotopy,endequation,,./chapters/ch07_kappa_homotopy.tex
