eq_label,chapter,line,epistemic_tag,source_file
eq:tau_n_baseline,ch03_neutron_metastable,30,\tagBL,./chapters/ch03_neutron_metastable.tex
eq:delta_m_np,ch03_neutron_metastable,180,\tagBL,./chapters/ch03_neutron_metastable.tex
eq:VB_conjecture,ch03_neutron_metastable,204,,./chapters/ch03_neutron_metastable.tex
eq:SE_numeric,ch09_tau_n_prediction,94,,./chapters/ch09_tau_n_prediction.tex
eq:exp_factor,ch09_tau_n_prediction,118,,./chapters/ch09_tau_n_prediction.tex
eq:omega0,ch09_tau_n_prediction,147,,./chapters/ch09_tau_n_prediction.tex
eq:hbar_omega,ch09_tau_n_prediction,161,,./chapters/ch09_tau_n_prediction.tex
eq:tau_formula,ch09_tau_n_prediction,215,,./chapters/ch09_tau_n_prediction.tex
eq:tau_result,ch09_tau_n_prediction,232,,./chapters/ch09_tau_n_prediction.tex
eq:contact_area,ch04_sigma_to_K,82,\tagDc,./chapters/ch04_sigma_to_K.tex
eq:mismatch_energy,ch04_sigma_to_K,126,\tagDc,./chapters/ch04_sigma_to_K.tex
eq:H_pin,ch04_sigma_to_K,141,,./chapters/ch04_sigma_to_K.tex
eq:f_factor,ch04_sigma_to_K,162,\tagI,./chapters/ch04_sigma_to_K.tex
eq:K_formula,ch04_sigma_to_K,199,\tagDcI,./chapters/ch04_sigma_to_K.tex
eq:K_numerical,ch04_sigma_to_K,218,\tagDcI,./chapters/ch04_sigma_to_K.tex
eq:winding_bc,ch07_kappa_homotopy,39,,./chapters/ch07_kappa_homotopy.tex
eq:pi1_S1,ch07_kappa_homotopy,75,,./chapters/ch07_kappa_homotopy.tex
eq:delta_w,ch07_kappa_homotopy,146,,./chapters/ch07_kappa_homotopy.tex
eq:angular_integral,ch07_kappa_homotopy,187,,./chapters/ch07_kappa_homotopy.tex
eq:SE_canonical,ch07_kappa_homotopy,204,,./chapters/ch07_kappa_homotopy.tex
eq:SE_full,ch07_kappa_homotopy,230,,./chapters/ch07_kappa_homotopy.tex
eq:kappa_result,ch07_kappa_homotopy,236,,./chapters/ch07_kappa_homotopy.tex
eq:allowed_set,ch05_M6_lattice,202,,./chapters/ch05_M6_lattice.tex
eq:forbidden_zone,ch05_M6_lattice,241,\tagDer,./chapters/ch05_M6_lattice.tex
eq:frustration_distance,ch05_M6_lattice,271,\tagDer,./chapters/ch05_M6_lattice.tex
eq:n_of_A,ch05_M6_lattice,292,\tagCal,./chapters/ch05_M6_lattice.tex
eq:VB_recall,ch06_instanton,41,\tagP,./chapters/ch06_instanton.tex
eq:Seff,ch06_instanton,86,,./chapters/ch06_instanton.tex
eq:SE_integral,ch06_instanton,144,,./chapters/ch06_instanton.tex
eq:euclidean_eom,ch06_instanton,158,,./chapters/ch06_instanton.tex
eq:bounce_bc,ch06_instanton,163,,./chapters/ch06_instanton.tex
eq:SE_wkb,ch06_instanton,180,,./chapters/ch06_instanton.tex
eq:SE_edc,ch06_instanton,191,,./chapters/ch06_instanton.tex
eq:Gamma,ch06_instanton,216,,./chapters/ch06_instanton.tex
eq:Gamma0,ch06_instanton,228,,./chapters/ch06_instanton.tex
eq:tau_n_formula,ch06_instanton,288,,./chapters/ch06_instanton.tex
eq:baseline_lane,ch13_geiger_nuttall,78,,./chapters/ch13_geiger_nuttall.tex
eq:barrier_ratio,ch13_geiger_nuttall,83,,./chapters/ch13_geiger_nuttall.tex
eq:corrected_lane,ch13_geiger_nuttall,247,,./chapters/ch13_geiger_nuttall.tex
eq:residual_def,ch13_geiger_nuttall,267,,./chapters/ch13_geiger_nuttall.tex
eq:delta_d,ch13_geiger_nuttall,294,,./chapters/ch13_geiger_nuttall.tex
eq:Gjun_Z6,ch02_junction_symmetries,78,,./chapters/ch02_junction_symmetries.tex
eq:subgroup_chain,ch02_junction_symmetries,105,,./chapters/ch02_junction_symmetries.tex
eq:ch2:allowed_set,ch02_junction_symmetries,297,,./chapters/ch02_junction_symmetries.tex
eq:delta_def,ch08_L0_delta_ratio,55,,./chapters/ch08_L0_delta_ratio.tex
eq:L0delta_hypothesis,ch08_L0_delta_ratio,89,,./chapters/ch08_L0_delta_ratio.tex
eq:composition,ch12_light_nuclei,226,,./chapters/ch12_light_nuclei.tex
eq:composition_be,ch12_light_nuclei,232,,./chapters/ch12_light_nuclei.tex
eq:li6_cluster,ch12_light_nuclei,289,,./chapters/ch12_light_nuclei.tex
eq:naive_bond,ch11_helium4,65,,./chapters/ch11_helium4.tex
eq:naive_result,ch11_helium4,73,,./chapters/ch11_helium4.tex
eq:pin_contribution,ch11_helium4,105,,./chapters/ch11_helium4.tex
eq:four_term,ch11_helium4,204,,./chapters/ch11_helium4.tex
eq:loc_formula,ch11_helium4,225,,./chapters/ch11_helium4.tex
eq:loc_value,ch11_helium4,238,,./chapters/ch11_helium4.tex
eq:pin_value,ch11_helium4,253,,./chapters/ch11_helium4.tex
eq:surf_value,ch11_helium4,284,,./chapters/ch11_helium4.tex
eq:cl_value,ch11_helium4,305,,./chapters/ch11_helium4.tex
eq:K_recall,ch10_deuterium,72,,./chapters/ch10_deuterium.tex
eq:Bd_model,ch10_deuterium,90,,./chapters/ch10_deuterium.tex
eq:Bd_result,ch10_deuterium,230,,./chapters/ch10_deuterium.tex
eq:f:baseline_recall,ch14_coordination_frustration,41,\tagBL,./chapters/ch14_coordination_frustration.tex
eq:f:residual_def,ch14_coordination_frustration,53,,./chapters/ch14_coordination_frustration.tex
eq:f:nA,ch14_coordination_frustration,87,,./chapters/ch14_coordination_frustration.tex
eq:f:allowed_set,ch14_coordination_frustration,131,,./chapters/ch14_coordination_frustration.tex
eq:f:d_n,ch14_coordination_frustration,220,,./chapters/ch14_coordination_frustration.tex
eq:f:corrected_lane,ch14_coordination_frustration,274,,./chapters/ch14_coordination_frustration.tex
eq:f:delta_g,ch14_coordination_frustration,279,,./chapters/ch14_coordination_frustration.tex
eq:sh:baseline,ch15_superheavy,42,\tagBL,./chapters/ch15_superheavy.tex
eq:sh:residual,ch15_superheavy,49,\tagBL,./chapters/ch15_superheavy.tex
eq:sh:correction,ch15_superheavy,56,\tagP,./chapters/ch15_superheavy.tex
