number,type,title,source_file
1,Chapter 1,Anchor Junction as Topological Ground State,./chapters/ch01_proton_ground.tex
2,Chapter 2,Junction Symmetries,./chapters/ch02_junction_symmetries.tex
3,Chapter 3,Metastable Junction,./chapters/ch03_neutron_metastable.tex
4,Chapter 4,From Brane Tension to Pinning Constant,./chapters/ch04_sigma_to_K.tex
5,Chapter 5,The M$_6$ Coordination Lattice,./chapters/ch05_M6_lattice.tex
6,Chapter 6,Instanton Derivation,./chapters/ch06_instanton.tex
7,Chapter 7,$\kappa = 2\pi$ from Homotopy,./chapters/ch07_kappa_homotopy.tex
8,Chapter 8,$\Lzero/\bdelta$ Scale Ratio,./chapters/ch08_L0_delta_ratio.tex
9,Chapter 9,$\taun = 880\second$ Prediction,./chapters/ch09_tau_n_prediction.tex
10,Chapter 10,Deuterium: The Minimal Bound State,./chapters/ch10_deuterium.tex
11,Chapter 11,Helium-4: The Closed Topological Unit,./chapters/ch11_helium4.tex
12,Chapter 12,Light Nuclei Patterns,./chapters/ch12_light_nuclei.tex
13,Chapter 13,Barrier-Limited Release Systematics,./chapters/ch13_geiger_nuttall.tex
14,Chapter 14,Coordination Frustration Correction,./chapters/ch14_coordination_frustration.tex
15,Chapter 15,High-Coordination Regime Predictions,./chapters/ch15_superheavy.tex
16,Chapter 16,Unified Picture,./chapters/ch16_unified_picture.tex
17,Chapter 17,Reproducibility \& Verification,./chapters/ch17_reproducibility.tex
