# Mode: w_L
# Eigenvalue: 0.0001782606126567822
# Normalization: 0.9999999999999998
# Nodes: 0
# Normalizable: True
chi_GeV_inv,profile,profile_squared
-5.3300000000e+00,5.8430187677e-05,3.4140868320e-09
-5.3193400000e+00,1.1689689295e-04,1.3664883581e-08
-5.3086800000e+00,1.7543665622e-04,3.0778020346e-08
-5.2980200000e+00,2.3408606355e-04,5.4796285150e-08
-5.2873600000e+00,2.9288176952e-04,8.5779730916e-08
-5.2767000000e+00,3.5186052011e-04,1.2380582561e-07
-5.2660400000e+00,4.1105917571e-04,1.6896964593e-07
-5.2553800000e+00,4.7051473411e-04,2.2138411502e-07
-5.2447200000e+00,5.3026435367e-04,2.8118028478e-07
-5.2340600000e+00,5.9034537651e-04,3.4850766356e-07
-5.2234000000e+00,6.5079535183e-04,4.2353458996e-07
-5.2127400000e+00,7.1165205941e-04,5.0644865367e-07
-5.2020800000e+00,7.7295353324e-04,5.9745716455e-07
-5.1914200000e+00,8.3473808521e-04,6.9678767090e-07
-5.1807600000e+00,8.9704432913e-04,8.0468852842e-07
-5.1701000000e+00,9.5991120482e-04,9.2142952113e-07
-5.1594400000e+00,1.0233780025e-03,1.0473025359e-06
-5.1487800000e+00,1.0874843871e-03,1.1826222923e-06
-5.1381200000e+00,1.1522704236e-03,1.3277271292e-06
-5.1274600000e+00,1.2177766015e-03,1.4829798511e-06
-5.1168000000e+00,1.2840438602e-03,1.6487686349e-06
-5.1061400000e+00,1.3511136150e-03,1.8255080006e-06
-5.0954800000e+00,1.4190277825e-03,2.0136398475e-06
-5.0848200000e+00,1.4878288071e-03,2.2136345593e-06
-5.0741600000e+00,1.5575596874e-03,2.4259921798e-06
-5.0635000000e+00,1.6282640030e-03,2.6512436636e-06
-5.0528400000e+00,1.6999859420e-03,2.8899522030e-06
-5.0421800000e+00,1.7727703282e-03,3.1427146365e-06
-5.0315200000e+00,1.8466626495e-03,3.4101629409e-06
-5.0208600000e+00,1.9217090860e-03,3.6929658114e-06
-5.0102000000e+00,1.9979565393e-03,3.9918303331e-06
-4.9995400000e+00,2.0754526613e-03,4.3075037492e-06
-4.9888800000e+00,2.1542458842e-03,4.6407753294e-06
-4.9782200000e+00,2.2343854507e-03,4.9924783425e-06
-4.9675600000e+00,2.3159214452e-03,5.3634921402e-06
-4.9569000000e+00,2.3989048242e-03,5.7547443555e-06
-4.9462400000e+00,2.4833874490e-03,6.1672132220e-06
-4.9355800000e+00,2.5694221177e-03,6.6019300190e-06
-4.9249200000e+00,2.6570625982e-03,7.0599816507e-06
-4.9142600000e+00,2.7463636618e-03,7.5425133628e-06
-4.9036000000e+00,2.8373811175e-03,8.0507316060e-06
-4.8929400000e+00,2.9301718469e-03,8.5859070522e-06
-4.8822800000e+00,3.0247938395e-03,9.1493777713e-06
-4.8716200000e+00,3.1213062292e-03,9.7425525762e-06
-4.8609600000e+00,3.2197693310e-03,1.0366914545e-05
-4.8503000000e+00,3.3202446790e-03,1.1024024729e-05
-4.8396400000e+00,3.4227950645e-03,1.1715526054e-05
-4.8289800000e+00,3.5274845754e-03,1.2443147429e-05
-4.8183200000e+00,3.6343786360e-03,1.3208708070e-05
-4.8076600000e+00,3.7435440484e-03,1.4014122043e-05
-4.7970000000e+00,3.8550490337e-03,1.4861403052e-05
-4.7863400000e+00,3.9689632746e-03,1.5752669475e-05
-4.7756800000e+00,4.0853579594e-03,1.6690149657e-05
-4.7650200000e+00,4.2043058261e-03,1.7676187479e-05
-4.7543600000e+00,4.3258812077e-03,1.8713248223e-05
-4.7437000000e+00,4.4501600789e-03,1.9803924728e-05
-4.7330400000e+00,4.5772201036e-03,2.0950943877e-05
-4.7223800000e+00,4.7071406829e-03,2.2157173409e-05
-4.7117200000e+00,4.8400030054e-03,2.3425629092e-05
-4.7010600000e+00,4.9758900971e-03,2.4759482258e-05
-4.6904000000e+00,5.1148868739e-03,2.6162067732e-05
-4.6797400000e+00,5.2570801942e-03,2.7636892168e-05
-4.6690800000e+00,5.4025589133e-03,2.9187642811e-05
-4.6584200000e+00,5.5514139388e-03,3.0818196720e-05
-4.6477600000e+00,5.7037382874e-03,3.2532630451e-05
-4.6371000000e+00,5.8596271429e-03,3.4335230253e-05
-4.6264400000e+00,6.0191779154e-03,3.6230502777e-05
-4.6157800000e+00,6.1824903025e-03,3.8223186340e-05
-4.6051200000e+00,6.3496663513e-03,4.0318262772e-05
-4.5944600000e+00,6.5208105218e-03,4.2520969861e-05
-4.5838000000e+00,6.6960297526e-03,4.4836814447e-05
-4.5731400000e+00,6.8754335271e-03,4.7271586185e-05
-4.5624800000e+00,7.0591339421e-03,4.9831372013e-05
-4.5518200000e+00,7.2472457777e-03,5.2522571362e-05
-4.5411600000e+00,7.4398865684e-03,5.5351912151e-05
-4.5305000000e+00,7.6371766772e-03,5.8326467599e-05
-4.5198400000e+00,7.8392393700e-03,6.1453673900e-05
-4.5091800000e+00,8.0462008925e-03,6.4741348802e-05
-4.4985200000e+00,8.2581905491e-03,6.8197711145e-05
-4.4878600000e+00,8.4753407834e-03,7.1831401395e-05
-4.4772000000e+00,8.6977872607e-03,7.5651503232e-05
-4.4665400000e+00,8.9256689523e-03,7.9667566246e-05
-4.4558800000e+00,9.1591282225e-03,8.3889629797e-05
-4.4452200000e+00,9.3983109169e-03,8.8328248090e-05
-4.4345600000e+00,9.6433664532e-03,9.2994516550e-05
