# Mode: w_R
# Eigenvalue: 352.08868667912196
# Normalization: 1.0000000000000002
# Nodes: 0
# Normalizable: True
chi_GeV_inv,profile,profile_squared
-5.3300000000e+00,1.3554367857e-03,1.8372088801e-06
-5.3193400000e+00,2.7108602758e-03,7.3487634346e-06
-5.3086800000e+00,4.0662571745e-03,1.6534447409e-05
-5.2980200000e+00,5.4216141867e-03,2.9393900389e-05
-5.2873600000e+00,6.7769180173e-03,4.5926617814e-05
-5.2767000000e+00,8.1321553721e-03,6.6131950996e-05
-5.2660400000e+00,9.4873129572e-03,9.0009107148e-05
-5.2553800000e+00,1.0842377480e-02,1.1755714941e-04
-5.2447200000e+00,1.2197335648e-02,1.4877499690e-04
-5.2340600000e+00,1.3552174170e-02,1.8366142473e-04
-5.2234000000e+00,1.4906879756e-02,2.2221506407e-04
-5.2127400000e+00,1.6261439119e-02,2.6443440222e-04
-5.2020800000e+00,1.7615838971e-02,3.1031778264e-04
-5.1914200000e+00,1.8970066026e-02,3.5986340501e-04
-5.1807600000e+00,2.0324107000e-02,4.1306932534e-04
-5.1701000000e+00,2.1677948612e-02,4.6993345602e-04
-5.1594400000e+00,2.3031577581e-02,5.3045356588e-04
-5.1487800000e+00,2.4384980630e-02,5.9462728032e-04
-5.1381200000e+00,2.5738144483e-02,6.6245208140e-04
-5.1274600000e+00,2.7091055865e-02,7.3392530790e-04
-5.1168000000e+00,2.8443701508e-02,8.0904415546e-04
-5.1061400000e+00,2.9796068141e-02,8.8780567666e-04
-5.0954800000e+00,3.1148142500e-02,9.7020678118e-04
-5.0848200000e+00,3.2499911321e-02,1.0562442359e-03
-5.0741600000e+00,3.3851361346e-02,1.1459146650e-03
-5.0635000000e+00,3.5202479317e-02,1.2392145501e-03
-5.0528400000e+00,3.6553251981e-02,1.3361402304e-03
-5.0421800000e+00,3.7903666088e-02,1.4366879029e-03
-5.0315200000e+00,3.9253708392e-02,1.5408536226e-03
-5.0208600000e+00,4.0603365650e-02,1.6486333021e-03
-5.0102000000e+00,4.1952624623e-02,1.7600227128e-03
-4.9995400000e+00,4.3301472076e-02,1.8750174840e-03
-4.9888800000e+00,4.4649894778e-02,1.9936131036e-03
-4.9782200000e+00,4.5997879501e-02,2.1158049186e-03
-4.9675600000e+00,4.7345413024e-02,2.2415881344e-03
-4.9569000000e+00,4.8692482127e-02,2.3709578157e-03
-4.9462400000e+00,5.0039073598e-02,2.5039088866e-03
-4.9355800000e+00,5.1385174228e-02,2.6404361304e-03
-4.9249200000e+00,5.2730770812e-02,2.7805341904e-03
-4.9142600000e+00,5.4075850151e-02,2.9241975696e-03
-4.9036000000e+00,5.5420399052e-02,3.0714206311e-03
-4.8929400000e+00,5.6764404324e-02,3.2221975983e-03
-4.8822800000e+00,5.8107852786e-02,3.3765225554e-03
-4.8716200000e+00,5.9450731257e-02,3.5343894470e-03
-4.8609600000e+00,6.0793026567e-02,3.6957920792e-03
-4.8503000000e+00,6.2134725548e-02,3.8607241190e-03
-4.8396400000e+00,6.3475815040e-02,4.0291790949e-03
-4.8289800000e+00,6.4816281886e-02,4.2011503976e-03
-4.8183200000e+00,6.6156112939e-02,4.3766312793e-03
-4.8076600000e+00,6.7495295056e-02,4.5556148548e-03
-4.7970000000e+00,6.8833815101e-02,4.7380941014e-03
-4.7863400000e+00,7.0171659943e-02,4.9240618592e-03
-4.7756800000e+00,7.1508816460e-02,5.1135108316e-03
-4.7650200000e+00,7.2845271536e-02,5.3064335851e-03
-4.7543600000e+00,7.4181012060e-02,5.5028225502e-03
-4.7437000000e+00,7.5516024930e-02,5.7026700213e-03
-4.7330400000e+00,7.6850297052e-02,5.9059681569e-03
-4.7223800000e+00,7.8183815336e-02,6.1127089805e-03
-4.7117200000e+00,7.9516566702e-02,6.3228843801e-03
-4.7010600000e+00,8.0848538077e-02,6.5364861093e-03
-4.6904000000e+00,8.2179716396e-02,6.7535057869e-03
-4.6797400000e+00,8.3510088600e-02,6.9739348981e-03
-4.6690800000e+00,8.4839641641e-02,7.1977647937e-03
-4.6584200000e+00,8.6168362475e-02,7.4249866916e-03
-4.6477600000e+00,8.7496238070e-02,7.6555916763e-03
-4.6371000000e+00,8.8823255399e-02,7.8895706997e-03
-4.6264400000e+00,9.0149401447e-02,8.1269145813e-03
-4.6157800000e+00,9.1474663205e-02,8.3676140084e-03
-4.6051200000e+00,9.2799027672e-02,8.6116595369e-03
-4.5944600000e+00,9.4122481859e-02,8.8590415913e-03
-4.5838000000e+00,9.5445012783e-02,9.1097504652e-03
-4.5731400000e+00,9.6766607471e-02,9.3637763215e-03
-4.5624800000e+00,9.8087252960e-02,9.6211091932e-03
-4.5518200000e+00,9.9406936294e-02,9.8817389834e-03
-4.5411600000e+00,1.0072564453e-01,1.0145655466e-02
-4.5305000000e+00,1.0204336473e-01,1.0412848286e-02
-4.5198400000e+00,1.0336008397e-01,1.0683306959e-02
-4.5091800000e+00,1.0467578934e-01,1.0957020873e-02
-4.4985200000e+00,1.0599046792e-01,1.1233979290e-02
-4.4878600000e+00,1.0730410683e-01,1.1514171342e-02
-4.4772000000e+00,1.0861669317e-01,1.1797586035e-02
-4.4665400000e+00,1.0992821407e-01,1.2084212249e-02
-4.4558800000e+00,1.1123865667e-01,1.2374038738e-02
-4.4452200000e+00,1.1254800811e-01,1.2667054130e-02
-4.4345600000e+00,1.1385625555e-01,1.2963246928e-02
-4.4239000000e+00,1.1516338615e-01,1.3262605510e-02
-4.4132400000e+00,1.1646938710e-01,1.3565118132e-02
-4.4025800000e+00,1.1777424558e-01,1.3870772922e-02
-4.3919200000e+00,1.1907794879e-01,1.4179557889e-02
-4.3812600000e+00,1.2038048395e-01,1.4491460917e-02
-4.3706000000e+00,1.2168183828e-01,1.4806469767e-02
-4.3599400000e+00,1.2298199901e-01,1.5124572080e-02
-4.3492800000e+00,1.2428095339e-01,1.5445755375e-02
-4.3386200000e+00,1.2557868867e-01,1.5770007049e-02
-4.3279600000e+00,1.2687519214e-01,1.6097314380e-02
-4.3173000000e+00,1.2817045106e-01,1.6427664526e-02
-4.3066400000e+00,1.2946445274e-01,1.6761044524e-02
-4.2959800000e+00,1.3075718448e-01,1.7097441294e-02
-4.2853200000e+00,1.3204863361e-01,1.7436841638e-02
-4.2746600000e+00,1.3333878744e-01,1.7779232237e-02
-4.2640000000e+00,1.3462763334e-01,1.8124599658e-02
-4.2533400000e+00,1.3591515865e-01,1.8472930350e-02
-4.2426800000e+00,1.3720135074e-01,1.8824210646e-02
-4.2320200000e+00,1.3848619701e-01,1.9178426762e-02
-4.2213600000e+00,1.3976968484e-01,1.9535564801e-02
-4.2107000000e+00,1.4105180165e-01,1.9895610748e-02
-4.2000400000e+00,1.4233253486e-01,2.0258550479e-02
-4.1893800000e+00,1.4361187190e-01,2.0624369751e-02
-4.1787200000e+00,1.4488980023e-01,2.0993054211e-02
-4.1680600000e+00,1.4616630732e-01,2.1364589395e-02
-4.1574000000e+00,1.4744138063e-01,2.1738960722e-02
-4.1467400000e+00,1.4871500767e-01,2.2116153506e-02
-4.1360800000e+00,1.4998717594e-01,2.2496152946e-02
-4.1254200000e+00,1.5125787296e-01,2.2878944131e-02
-4.1147600000e+00,1.5252708626e-01,2.3264512044e-02
-4.1041000000e+00,1.5379480341e-01,2.3652841555e-02
-4.0934400000e+00,1.5506101195e-01,2.4043917427e-02
-4.0827800000e+00,1.5632569948e-01,2.4437724317e-02
-4.0721200000e+00,1.5758885358e-01,2.4834246772e-02
-4.0614600000e+00,1.5885046186e-01,2.5233469234e-02
-4.0508000000e+00,1.6011051196e-01,2.5635376040e-02
-4.0401400000e+00,1.6136899151e-01,2.6039951419e-02
-4.0294800000e+00,1.6262588816e-01,2.6447179499e-02
-4.0188200000e+00,1.6388118958e-01,2.6857044299e-02
-4.0081600000e+00,1.6513488347e-01,2.7269529739e-02
-3.9975000000e+00,1.6638695753e-01,2.7684619635e-02
-3.9868400000e+00,1.6763739946e-01,2.8102297699e-02
-3.9761800000e+00,1.6888619702e-01,2.8522547543e-02
-3.9655200000e+00,1.7013333794e-01,2.8945352679e-02
-3.9548600000e+00,1.7137881000e-01,2.9370696516e-02
-3.9442000000e+00,1.7262260097e-01,2.9798562366e-02
-3.9335400000e+00,1.7386469866e-01,3.0228933440e-02
-3.9228800000e+00,1.7510509088e-01,3.0661792853e-02
-3.9122200000e+00,1.7634376547e-01,3.1097123620e-02
-3.9015600000e+00,1.7758071027e-01,3.1534908661e-02
-3.8909000000e+00,1.7881591316e-01,3.1975130799e-02
-3.8802400000e+00,1.8004936201e-01,3.2417772760e-02
-3.8695800000e+00,1.8128104473e-01,3.2862817177e-02
-3.8589200000e+00,1.8251094923e-01,3.3310246588e-02
-3.8482600000e+00,1.8373906345e-01,3.3760043437e-02
-3.8376000000e+00,1.8496537534e-01,3.4212190076e-02
-3.8269400000e+00,1.8618987288e-01,3.4666668764e-02
-3.8162800000e+00,1.8741254405e-01,3.5123461669e-02
-3.8056200000e+00,1.8863337687e-01,3.5582550868e-02
-3.7949600000e+00,1.8985235934e-01,3.6043918347e-02
-3.7843000000e+00,1.9106947952e-01,3.6507546006e-02
-3.7736400000e+00,1.9228472548e-01,3.6973415651e-02
-3.7629800000e+00,1.9349808527e-01,3.7441509005e-02
-3.7523200000e+00,1.9470954702e-01,3.7911807700e-02
-3.7416600000e+00,1.9591909882e-01,3.8384293284e-02
-3.7310000000e+00,1.9712672883e-01,3.8858947218e-02
-3.7203400000e+00,1.9833242518e-01,3.9335750879e-02
-3.7096800000e+00,1.9953617606e-01,3.9814685558e-02
-3.6990200000e+00,2.0073796966e-01,4.0295732463e-02
-3.6883600000e+00,2.0193779419e-01,4.0778872721e-02
-3.6777000000e+00,2.0313563787e-01,4.1264087373e-02
-3.6670400000e+00,2.0433148896e-01,4.1751357382e-02
-3.6563800000e+00,2.0552533574e-01,4.2240663629e-02
-3.6457200000e+00,2.0671716648e-01,4.2731986916e-02
-3.6350600000e+00,2.0790696950e-01,4.3225307965e-02
-3.6244000000e+00,2.0909473312e-01,4.3720607418e-02
-3.6137400000e+00,2.1028044570e-01,4.4217865844e-02
-3.6030800000e+00,2.1146409560e-01,4.4717063730e-02
-3.5924200000e+00,2.1264567122e-01,4.5218181490e-02
-3.5817600000e+00,2.1382516097e-01,4.5721199462e-02
-3.5711000000e+00,2.1500255326e-01,4.6226097909e-02
-3.5604400000e+00,2.1617783656e-01,4.6732857021e-02
-3.5497800000e+00,2.1735099934e-01,4.7241456914e-02
-3.5391200000e+00,2.1852203009e-01,4.7751877633e-02
-3.5284600000e+00,2.1969091731e-01,4.8264099150e-02
-3.5178000000e+00,2.2085764956e-01,4.8778101368e-02
-3.5071400000e+00,2.2202221537e-01,4.9293864118e-02
-3.4964800000e+00,2.2318460333e-01,4.9811367165e-02
-3.4858200000e+00,2.2434480204e-01,5.0330590202e-02
-3.4751600000e+00,2.2550280011e-01,5.0851512858e-02
-3.4645000000e+00,2.2665858619e-01,5.1374114694e-02
-3.4538400000e+00,2.2781214894e-01,5.1898375204e-02
-3.4431800000e+00,2.2896347704e-01,5.2424273817e-02
-3.4325200000e+00,2.3011255920e-01,5.2951789901e-02
-3.4218600000e+00,2.3125938415e-01,5.3480902756e-02
-3.4112000000e+00,2.3240394063e-01,5.4011591622e-02
-3.4005400000e+00,2.3354621743e-01,5.4543835677e-02
-3.3898800000e+00,2.3468620334e-01,5.5077614037e-02
-3.3792200000e+00,2.3582388717e-01,5.5612905759e-02
-3.3685600000e+00,2.3695925776e-01,5.6149689840e-02
-3.3579000000e+00,2.3809230399e-01,5.6687945218e-02
-3.3472400000e+00,2.3922301472e-01,5.7227650773e-02
-3.3365800000e+00,2.4035137888e-01,5.7768785330e-02
-3.3259200000e+00,2.4147738539e-01,5.8311327657e-02
-3.3152600000e+00,2.4260102321e-01,5.8855256465e-02
-3.3046000000e+00,2.4372228132e-01,5.9400550413e-02
-3.2939400000e+00,2.4484114872e-01,5.9947188106e-02
-3.2832800000e+00,2.4595761443e-01,6.0495148095e-02
-3.2726200000e+00,2.4707166750e-01,6.1044408881e-02
-3.2619600000e+00,2.4818329700e-01,6.1594948911e-02
-3.2513000000e+00,2.4929249204e-01,6.2146746586e-02
-3.2406400000e+00,2.5039924172e-01,6.2699780253e-02
-3.2299800000e+00,2.5150353519e-01,6.3254028215e-02
-3.2193200000e+00,2.5260536163e-01,6.3809468724e-02
-3.2086600000e+00,2.5370471022e-01,6.4366079987e-02
-3.1980000000e+00,2.5480157018e-01,6.4923840164e-02
-3.1873400000e+00,2.5589593074e-01,6.5482727371e-02
-3.1766800000e+00,2.5698778118e-01,6.6042719678e-02
-3.1660200000e+00,2.5807711079e-01,6.6603795114e-02
-3.1553600000e+00,2.5916390888e-01,6.7165931664e-02
-3.1447000000e+00,2.6024816478e-01,6.7729107272e-02
-3.1340400000e+00,2.6132986787e-01,6.8293299840e-02
-3.1233800000e+00,2.6240900753e-01,6.8858487232e-02
-3.1127200000e+00,2.6348557318e-01,6.9424647272e-02
-3.1020600000e+00,2.6455955425e-01,6.9991757745e-02
-3.0914000000e+00,2.6563094022e-01,7.0559796400e-02
-3.0807400000e+00,2.6669972056e-01,7.1128740949e-02
-3.0700800000e+00,2.6776588481e-01,7.1698569068e-02
-3.0594200000e+00,2.6882942250e-01,7.2269258401e-02
-3.0487600000e+00,2.6989032319e-01,7.2840786554e-02
-3.0381000000e+00,2.7094857649e-01,7.3413131102e-02
-3.0274400000e+00,2.7200417201e-01,7.3986269590e-02
-3.0167800000e+00,2.7305709939e-01,7.4560179529e-02
-3.0061200000e+00,2.7410734832e-01,7.5134838401e-02
-2.9954600000e+00,2.7515490848e-01,7.5710223658e-02
-2.9848000000e+00,2.7619976959e-01,7.6286312724e-02
-2.9741400000e+00,2.7724192143e-01,7.6863082995e-02
-2.9634800000e+00,2.7828135374e-01,7.7440511842e-02
-2.9528200000e+00,2.7931805636e-01,7.8018576606e-02
-2.9421600000e+00,2.8035201909e-01,7.8597254608e-02
-2.9315000000e+00,2.8138323181e-01,7.9176523142e-02
-2.9208400000e+00,2.8241168439e-01,7.9756359479e-02
-2.9101800000e+00,2.8343736675e-01,8.0336740869e-02
-2.8995200000e+00,2.8446026882e-01,8.0917644539e-02
-2.8888600000e+00,2.8548038058e-01,8.1499047697e-02
-2.8782000000e+00,2.8649769202e-01,8.2080927530e-02
-2.8675400000e+00,2.8751219315e-01,8.2663261208e-02
-2.8568800000e+00,2.8852387402e-01,8.3246025882e-02
-2.8462200000e+00,2.8953272472e-01,8.3829198685e-02
-2.8355600000e+00,2.9053873535e-01,8.4412756738e-02
-2.8249000000e+00,2.9154189603e-01,8.4996677141e-02
-2.8142400000e+00,2.9254219693e-01,8.5580936986e-02
-2.8035800000e+00,2.9353962824e-01,8.6165513346e-02
-2.7929200000e+00,2.9453418017e-01,8.6750383286e-02
-2.7822600000e+00,2.9552584296e-01,8.7335523857e-02
-2.7716000000e+00,2.9651460689e-01,8.7920912101e-02
-2.7609400000e+00,2.9750046226e-01,8.8506525048e-02
-2.7502800000e+00,2.9848339941e-01,8.9092339721e-02
-2.7396200000e+00,2.9946340867e-01,8.9678333135e-02
-2.7289600000e+00,3.0044048046e-01,9.0264482298e-02
-2.7183000000e+00,3.0141460517e-01,9.0850764210e-02
-2.7076400000e+00,3.0238577326e-01,9.1437155869e-02
-2.6969800000e+00,3.0335397519e-01,9.2023634266e-02
-2.6863200000e+00,3.0431920148e-01,9.2610176391e-02
-2.6756600000e+00,3.0528144265e-01,9.3196759228e-02
-2.6650000000e+00,3.0624068927e-01,9.3783359763e-02
-2.6543400000e+00,3.0719693192e-01,9.4369954979e-02
-2.6436800000e+00,3.0815016122e-01,9.4956521860e-02
-2.6330200000e+00,3.0910036783e-01,9.5543037392e-02
-2.6223600000e+00,3.1004754242e-01,9.6129478562e-02
-2.6117000000e+00,3.1099167571e-01,9.6715822359e-02
-2.6010400000e+00,3.1193275842e-01,9.7302045778e-02
-2.5903800000e+00,3.1287078134e-01,9.7888125818e-02
-2.5797200000e+00,3.1380573526e-01,9.8474039481e-02
-2.5690600000e+00,3.1473761100e-01,9.9059763780e-02
-2.5584000000e+00,3.1566639944e-01,9.9645275733e-02
-2.5477400000e+00,3.1659209144e-01,1.0023055236e-01
-2.5370800000e+00,3.1751467795e-01,1.0081557071e-01
-2.5264200000e+00,3.1843414990e-01,1.0140030782e-01
-2.5157600000e+00,3.1935049828e-01,1.0198474075e-01
-2.5051000000e+00,3.2026371410e-01,1.0256884657e-01
-2.4944400000e+00,3.2117378839e-01,1.0315260235e-01
-2.4837800000e+00,3.2208071224e-01,1.0373598520e-01
-2.4731200000e+00,3.2298447675e-01,1.0431897222e-01
-2.4624600000e+00,3.2388507305e-01,1.0490154055e-01
-2.4518000000e+00,3.2478249231e-01,1.0548366731e-01
-2.4411400000e+00,3.2567672573e-01,1.0606532968e-01
-2.4304800000e+00,3.2656776453e-01,1.0664650483e-01
-2.4198200000e+00,3.2745559997e-01,1.0722716995e-01
-2.4091600000e+00,3.2834022334e-01,1.0780730227e-01
-2.3985000000e+00,3.2922162598e-01,1.0838687901e-01
-2.3878400000e+00,3.3009979922e-01,1.0896587744e-01
-2.3771800000e+00,3.3097473446e-01,1.0954427485e-01
-2.3665200000e+00,3.3184642312e-01,1.1012204853e-01
-2.3558600000e+00,3.3271485663e-01,1.1069917583e-01
-2.3452000000e+00,3.3358002650e-01,1.1127563408e-01
-2.3345400000e+00,3.3444192422e-01,1.1185140068e-01
-2.3238800000e+00,3.3530054135e-01,1.1242645303e-01
-2.3132200000e+00,3.3615586946e-01,1.1300076857e-01
-2.3025600000e+00,3.3700790016e-01,1.1357432477e-01
-2.2919000000e+00,3.3785662510e-01,1.1414709912e-01
-2.2812400000e+00,3.3870203594e-01,1.1471906915e-01
-2.2705800000e+00,3.3954412440e-01,1.1529021242e-01
-2.2599200000e+00,3.4038288222e-01,1.1586050651e-01
-2.2492600000e+00,3.4121830117e-01,1.1642992905e-01
-2.2386000000e+00,3.4205037305e-01,1.1699845770e-01
-2.2279400000e+00,3.4287908970e-01,1.1756607015e-01
-2.2172800000e+00,3.4370444299e-01,1.1813274413e-01
-2.2066200000e+00,3.4452642483e-01,1.1869845741e-01
-2.1959600000e+00,3.4534502716e-01,1.1926318778e-01
-2.1853000000e+00,3.4616024193e-01,1.1982691310e-01
-2.1746400000e+00,3.4697206117e-01,1.2038961123e-01
-2.1639800000e+00,3.4778047690e-01,1.2095126011e-01
-2.1533200000e+00,3.4858548119e-01,1.2151183770e-01
-2.1426600000e+00,3.4938706616e-01,1.2207132200e-01
-2.1320000000e+00,3.5018522392e-01,1.2262969105e-01
-2.1213400000e+00,3.5097994667e-01,1.2318692296e-01
