# Mode: w_phi
# Eigenvalue: -1.680428644990607
# Normalization: 1.0000000000000002
# Nodes: 0
# Normalizable: True
chi_GeV_inv,profile,profile_squared
-5.3300000000e+00,4.0015029050e-05,1.6012025499e-09
-5.3193400000e+00,8.0037699230e-05,6.4060332981e-09
-5.3086800000e+00,1.2007565313e-04,1.4418162475e-08
-5.2980200000e+00,1.6013653626e-04,2.5643710246e-08
-5.2873600000e+00,2.0022799851e-04,4.0091251385e-08
-5.2767000000e+00,2.4035769559e-04,5.7771821830e-08
-5.2660400000e+00,2.8053329054e-04,7.8698927104e-08
-5.2553800000e+00,3.2076245516e-04,1.0288855264e-07
-5.2447200000e+00,3.6105287145e-04,1.3035917598e-07
-5.2340600000e+00,4.0141223314e-04,1.6113178092e-07
-5.2234000000e+00,4.4184824712e-04,1.9522987348e-07
-5.2127400000e+00,4.8236863490e-04,2.3267949993e-07
-5.2020800000e+00,5.2298113411e-04,2.7350926663e-07
-5.1914200000e+00,5.6369349997e-04,3.1775036191e-07
-5.1807600000e+00,6.0451350679e-04,3.6543657989e-07
-5.1701000000e+00,6.4544894939e-04,4.1660434627e-07
-5.1594400000e+00,6.8650764469e-04,4.7129274621e-07
-5.1487800000e+00,7.2769743309e-04,5.2954355412e-07
-5.1381200000e+00,7.6902618006e-04,5.9140126561e-07
-5.1274600000e+00,8.1050177758e-04,6.5691313147e-07
-5.1168000000e+00,8.5213214571e-04,7.2612919375e-07
-5.1061400000e+00,8.9392523402e-04,7.9910232403e-07
-5.0954800000e+00,9.3588902319e-04,8.7588826372e-07
-5.0848200000e+00,9.7803152646e-04,9.5654566675e-07
-5.0741600000e+00,1.0203607912e-03,1.0411361443e-06
-5.0635000000e+00,1.0628849005e-03,1.1297243118e-06
-5.0528400000e+00,1.1056119746e-03,1.2223778385e-06
-5.0421800000e+00,1.1485501726e-03,1.3191674989e-06
-5.0315200000e+00,1.1917076936e-03,1.4201672271e-06
-5.0208600000e+00,1.2350927790e-03,1.5254541728e-06
-5.0102000000e+00,1.2787137135e-03,1.6351087610e-06
-4.9995400000e+00,1.3225788266e-03,1.7492147526e-06
-4.9888800000e+00,1.3666964948e-03,1.8678593089e-06
-4.9782200000e+00,1.4110751426e-03,1.9911330581e-06
-4.9675600000e+00,1.4557232444e-03,2.1191301643e-06
-4.9569000000e+00,1.5006493260e-03,2.2519483997e-06
-4.9462400000e+00,1.5458619664e-03,2.3896892192e-06
-4.9355800000e+00,1.5913697992e-03,2.5324578379e-06
-4.9249200000e+00,1.6371815145e-03,2.6803633114e-06
-4.9142600000e+00,1.6833058602e-03,2.8335186191e-06
-4.9036000000e+00,1.7297516442e-03,2.9920407505e-06
-4.8929400000e+00,1.7765277355e-03,3.1560507950e-06
-4.8822800000e+00,1.8236430663e-03,3.3256740334e-06
-4.8716200000e+00,1.8711066337e-03,3.5010400348e-06
-4.8609600000e+00,1.9189275011e-03,3.6822827545e-06
-4.8503000000e+00,1.9671148002e-03,3.8695406372e-06
-4.8396400000e+00,2.0156777327e-03,4.0629567221e-06
-4.8289800000e+00,2.0646255720e-03,4.2626787526e-06
-4.8183200000e+00,2.1139676650e-03,4.4688592887e-06
-4.8076600000e+00,2.1637134339e-03,4.6816558241e-06
-4.7970000000e+00,2.2138723780e-03,4.9012309060e-06
-4.7863400000e+00,2.2644540754e-03,5.1277522598e-06
-4.7756800000e+00,2.3154681852e-03,5.3613929165e-06
-4.7650200000e+00,2.3669244486e-03,5.6023313454e-06
-4.7543600000e+00,2.4188326917e-03,5.8507515905e-06
-4.7437000000e+00,2.4712028267e-03,6.1068434106e-06
-4.7330400000e+00,2.5240448539e-03,6.3708024246e-06
-4.7223800000e+00,2.5773688640e-03,6.6428302611e-06
-4.7117200000e+00,2.6311850394e-03,6.9231347118e-06
-4.7010600000e+00,2.6855036568e-03,7.2119298908e-06
-4.6904000000e+00,2.7403350886e-03,7.5094363980e-06
-4.6797400000e+00,2.7956898053e-03,7.8158814873e-06
-4.6690800000e+00,2.8515783771e-03,8.1314992408e-06
-4.6584200000e+00,2.9080114764e-03,8.4565307471e-06
-4.6477600000e+00,2.9649998795e-03,8.7912242854e-06
-4.6371000000e+00,3.0225544686e-03,9.1358355156e-06
-4.6264400000e+00,3.0806862342e-03,9.4906276735e-06
-4.6157800000e+00,3.1394062769e-03,9.8558717713e-06
-4.6051200000e+00,3.1987258097e-03,1.0231846805e-05
-4.5944600000e+00,3.2586561600e-03,1.0618839969e-05
-4.5838000000e+00,3.3192087719e-03,1.1017146872e-05
-4.5731400000e+00,3.3803952084e-03,1.1427071765e-05
-4.5624800000e+00,3.4422271534e-03,1.1848927776e-05
-4.5518200000e+00,3.5047164142e-03,1.2283037144e-05
-4.5411600000e+00,3.5678749233e-03,1.2729731468e-05
-4.5305000000e+00,3.6317147414e-03,1.3189351963e-05
-4.5198400000e+00,3.6962480591e-03,1.3662249715e-05
-4.5091800000e+00,3.7614871995e-03,1.4148785952e-05
-4.4985200000e+00,3.8274446204e-03,1.4649332322e-05
-4.4878600000e+00,3.8941329167e-03,1.5164271173e-05
-4.4772000000e+00,3.9615648232e-03,1.5693995848e-05
-4.4665400000e+00,4.0297532162e-03,1.6238910984e-05
-4.4558800000e+00,4.0987111169e-03,1.6799432820e-05
-4.4452200000e+00,4.1684516932e-03,1.7375989518e-05
-4.4345600000e+00,4.2389882625e-03,1.7969021490e-05
-4.4239000000e+00,4.3103342942e-03,1.8578981728e-05
-4.4132400000e+00,4.3825034124e-03,1.9206336160e-05
-4.4025800000e+00,4.4555093982e-03,1.9851563997e-05
-4.3919200000e+00,4.5293661925e-03,2.0515158106e-05
-4.3812600000e+00,4.6040878988e-03,2.1197625380e-05
-4.3706000000e+00,4.6796887857e-03,2.1899487131e-05
-4.3599400000e+00,4.7561832897e-03,2.2621279485e-05
-4.3492800000e+00,4.8335860178e-03,2.3363553792e-05
-4.3386200000e+00,4.9119117507e-03,2.4126877047e-05
-4.3279600000e+00,4.9911754452e-03,2.4911832325e-05
-4.3173000000e+00,5.0713922372e-03,2.5719019223e-05
-4.3066400000e+00,5.1525774445e-03,2.6549054322e-05
-4.2959800000e+00,5.2347465702e-03,2.7402571654e-05
-4.2853200000e+00,5.3179153047e-03,2.8280223188e-05
-4.2746600000e+00,5.4020995299e-03,2.9182679331e-05
-4.2640000000e+00,5.4873153212e-03,3.0110629434e-05
-4.2533400000e+00,5.5735789511e-03,3.1064782324e-05
-4.2426800000e+00,5.6609068922e-03,3.2045866842e-05
-4.2320200000e+00,5.7493158204e-03,3.3054632403e-05
-4.2213600000e+00,5.8388226179e-03,3.4091849563e-05
-4.2107000000e+00,5.9294443766e-03,3.5158310616e-05
-4.2000400000e+00,6.0211984014e-03,3.6254830190e-05
-4.1893800000e+00,6.1141022133e-03,3.7382245875e-05
-4.1787200000e+00,6.2081735529e-03,3.8541418862e-05
-4.1680600000e+00,6.3034303836e-03,3.9733234601e-05
-4.1574000000e+00,6.3998908955e-03,4.0958603474e-05
-4.1467400000e+00,6.4975735082e-03,4.2218461494e-05
-4.1360800000e+00,6.5964968749e-03,4.3513771021e-05
-4.1254200000e+00,6.6966798857e-03,4.4845521492e-05
-4.1147600000e+00,6.7981416712e-03,4.6214730182e-05
-4.1041000000e+00,6.9009016061e-03,4.7622442978e-05
-4.0934400000e+00,7.0049793132e-03,4.9069735178e-05
-4.0827800000e+00,7.1103946667e-03,5.0557712317e-05
-4.0721200000e+00,7.2171677965e-03,5.2087511002e-05
-4.0614600000e+00,7.3253190914e-03,5.3660299791e-05
-4.0508000000e+00,7.4348692038e-03,5.5277280077e-05
-4.0401400000e+00,7.5458390529e-03,5.6939687012e-05
-4.0294800000e+00,7.6582498291e-03,5.8648790446e-05
-4.0188200000e+00,7.7721229981e-03,6.0405895898e-05
-4.0081600000e+00,7.8874803046e-03,6.2212345556e-05
-3.9975000000e+00,8.0043437769e-03,6.4069519299e-05
-3.9868400000e+00,8.1227357308e-03,6.5978835752e-05
-3.9761800000e+00,8.2426787740e-03,6.7941753371e-05
-3.9655200000e+00,8.3641958104e-03,6.9959771555e-05
-3.9548600000e+00,8.4873100446e-03,7.2034431793e-05
-3.9442000000e+00,8.6120449859e-03,7.4167318839e-05
-3.9335400000e+00,8.7384244533e-03,7.6360061927e-05
-3.9228800000e+00,8.8664725799e-03,7.8614336010e-05
-3.9122200000e+00,8.9962138171e-03,8.0931863044e-05
-3.9015600000e+00,9.1276729401e-03,8.3314413301e-05
-3.8909000000e+00,9.2608750516e-03,8.5763806722e-05
-3.8802400000e+00,9.3958455876e-03,8.8281914306e-05
-3.8695800000e+00,9.5326103216e-03,9.0870659543e-05
-3.8589200000e+00,9.6711953696e-03,9.3532019877e-05
-3.8482600000e+00,9.8116271954e-03,9.6268028221e-05
-3.8376000000e+00,9.9539326154e-03,9.9080774511e-05
-3.8269400000e+00,1.0098138804e-02,1.0197240730e-04
-3.8162800000e+00,1.0244273297e-02,1.0494513539e-04
-3.8056200000e+00,1.0392364002e-02,1.0800122955e-04
-3.7949600000e+00,1.0542439196e-02,1.1114302420e-04
-3.7843000000e+00,1.0694527537e-02,1.1437291925e-04
-3.7736400000e+00,1.0848658069e-02,1.1769338189e-04
-3.7629800000e+00,1.1004860222e-02,1.2110694850e-04
-3.7523200000e+00,1.1163163825e-02,1.2461622658e-04
-3.7416600000e+00,1.1323599107e-02,1.2822389673e-04
-3.7310000000e+00,1.1486196704e-02,1.3193271472e-04
-3.7203400000e+00,1.1650987665e-02,1.3574551357e-04
-3.7096800000e+00,1.1818003458e-02,1.3966520573e-04
-3.6990200000e+00,1.1987275976e-02,1.4369478532e-04
-3.6883600000e+00,1.2158837542e-02,1.4783733038e-04
-3.6777000000e+00,1.2332720918e-02,1.5209600524e-04
-3.6670400000e+00,1.2508959307e-02,1.5647406294e-04
-3.6563800000e+00,1.2687586363e-02,1.6097484773e-04
-3.6457200000e+00,1.2868636197e-02,1.6560179757e-04
-3.6350600000e+00,1.3052143381e-02,1.7035844683e-04
-3.6244000000e+00,1.3238142956e-02,1.7524842893e-04
-3.6137400000e+00,1.3426670441e-02,1.8027547914e-04
-3.6030800000e+00,1.3617761837e-02,1.8544343744e-04
-3.5924200000e+00,1.3811453632e-02,1.9075625144e-04
-3.5817600000e+00,1.4007782815e-02,1.9621797940e-04
-3.5711000000e+00,1.4206786876e-02,2.0183279333e-04
-3.5604400000e+00,1.4408503814e-02,2.0760498217e-04
-3.5497800000e+00,1.4612972151e-02,2.1353895508e-04
-3.5391200000e+00,1.4820230930e-02,2.1963924481e-04
-3.5284600000e+00,1.5030319728e-02,2.2591051113e-04
-3.5178000000e+00,1.5243278664e-02,2.3235754443e-04
-3.5071400000e+00,1.5459148403e-02,2.3898526936e-04
-3.4964800000e+00,1.5677970168e-02,2.4579874859e-04
-3.4858200000e+00,1.5899785743e-02,2.5280318667e-04
-3.4751600000e+00,1.6124637486e-02,2.6000393405e-04
-3.4645000000e+00,1.6352568333e-02,2.6740649109e-04
-3.4538400000e+00,1.6583621810e-02,2.7501651234e-04
-3.4431800000e+00,1.6817842038e-02,2.8283981080e-04
-3.4325200000e+00,1.7055273742e-02,2.9088236241e-04
-3.4218600000e+00,1.7295962262e-02,2.9915031055e-04
-3.4112000000e+00,1.7539953558e-02,3.0764997082e-04
-3.4005400000e+00,1.7787294223e-02,3.1638783577e-04
-3.3898800000e+00,1.8038031488e-02,3.2537057995e-04
-3.3792200000e+00,1.8292213232e-02,3.3460506492e-04
-3.3685600000e+00,1.8549887994e-02,3.4409834457e-04
-3.3579000000e+00,1.8811104977e-02,3.5385767046e-04
-3.3472400000e+00,1.9075914064e-02,3.6389049737e-04
-3.3365800000e+00,1.9344365821e-02,3.7420448901e-04
-3.3259200000e+00,1.9616511510e-02,3.8480752383e-04
-3.3152600000e+00,1.9892403100e-02,3.9570770111e-04
-3.3046000000e+00,2.0172093275e-02,4.0691334708e-04
-3.2939400000e+00,2.0455635441e-02,4.1843302131e-04
-3.2832800000e+00,2.0743083745e-02,4.3027552326e-04
-3.2726200000e+00,2.1034493076e-02,4.4244989896e-04
-3.2619600000e+00,2.1329919080e-02,4.5496544796e-04
-3.2513000000e+00,2.1629418171e-02,4.6783173042e-04
-3.2406400000e+00,2.1933047541e-02,4.8105857442e-04
-3.2299800000e+00,2.2240865168e-02,4.9465608344e-04
-3.2193200000e+00,2.2552929834e-02,5.0863464410e-04
-3.2086600000e+00,2.2869301129e-02,5.2300493412e-04
-3.1980000000e+00,2.3190039465e-02,5.3777793041e-04
-3.1873400000e+00,2.3515206091e-02,5.5296491750e-04
-3.1766800000e+00,2.3844863098e-02,5.6857749618e-04
-3.1660200000e+00,2.4179073438e-02,5.8462759230e-04
-3.1553600000e+00,2.4517900928e-02,6.0112746592e-04
-3.1447000000e+00,2.4861410272e-02,6.1808972069e-04
-3.1340400000e+00,2.5209667063e-02,6.3552731342e-04
-3.1233800000e+00,2.5562737804e-02,6.5345356405e-04
-3.1127200000e+00,2.5920689917e-02,6.7188216575e-04
-3.1020600000e+00,2.6283591753e-02,6.9082719545e-04
-3.0914000000e+00,2.6651512612e-02,7.1030312453e-04
-3.0807400000e+00,2.7024522751e-02,7.3032482993e-04
-3.0700800000e+00,2.7402693398e-02,7.5090760547e-04
-3.0594200000e+00,2.7786096767e-02,7.7206717356e-04
-3.0487600000e+00,2.8174806072e-02,7.9381969719e-04
-3.0381000000e+00,2.8568895539e-02,8.1618179229e-04
-3.0274400000e+00,2.8968440421e-02,8.3917054042e-04
-3.0167800000e+00,2.9373517015e-02,8.6280350181e-04
-3.0061200000e+00,2.9784202672e-02,8.8709872878e-04
-2.9954600000e+00,3.0200575815e-02,9.1207477954e-04
-2.9848000000e+00,3.0622715953e-02,9.3775073233e-04
-2.9741400000e+00,3.1050703696e-02,9.6414620004e-04
-2.9634800000e+00,3.1484620772e-02,9.9128134515e-04
-2.9528200000e+00,3.1924550039e-02,1.0191768952e-03
-2.9421600000e+00,3.2370575503e-02,1.0478541584e-03
-2.9315000000e+00,3.2822782337e-02,1.0773350404e-03
-2.9208400000e+00,3.3281256892e-02,1.1076420603e-03
-2.9101800000e+00,3.3746086716e-02,1.1387983686e-03
-2.8995200000e+00,3.4217360570e-02,1.1708277644e-03
-2.8888600000e+00,3.4695168447e-02,1.2037547136e-03
-2.8782000000e+00,3.5179601587e-02,1.2376043678e-03
-2.8675400000e+00,3.5670752494e-02,1.2724025835e-03
-2.8568800000e+00,3.6168714957e-02,1.3081759416e-03
-2.8462200000e+00,3.6673584063e-02,1.3449517680e-03
-2.8355600000e+00,3.7185456220e-02,1.3827581543e-03
-2.8249000000e+00,3.7704429171e-02,1.4216239791e-03
-2.8142400000e+00,3.8230602017e-02,1.4615789306e-03
-2.8035800000e+00,3.8764075232e-02,1.5026535286e-03
-2.7929200000e+00,3.9304950684e-02,1.5448791483e-03
-2.7822600000e+00,3.9853331656e-02,1.5882880441e-03
-2.7716000000e+00,4.0409322862e-02,1.6329133742e-03
-2.7609400000e+00,4.0973030470e-02,1.6787892259e-03
-2.7502800000e+00,4.1544562121e-02,1.7259506418e-03
-2.7396200000e+00,4.2124026949e-02,1.7744336464e-03
-2.7289600000e+00,4.2711535603e-02,1.8242752736e-03
-2.7183000000e+00,4.3307200269e-02,1.8755135951e-03
-2.7076400000e+00,4.3911134688e-02,1.9281877496e-03
-2.6969800000e+00,4.4523454181e-02,1.9823379722e-03
-2.6863200000e+00,4.5144275668e-02,2.0380056256e-03
