LR_separation_delta,fermion_width_delta,converged,normalizable,M_eff,I_4,epsilon,X_EDC,X_ratio,log_ratio,gate1_pass,gate2_pass,gate3_pass,all_gates_pass,fail_codes,error
0.5,1.0,True,True,2.4321417179470415,0.09493916682763029,0.679974009376308,1.448421897934666e-10,47.645457168903484,1.6780214984574442,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.8,True,True,2.432141717947318,0.10218741937028324,0.6147659271370384,1.5590035267324664e-10,51.2830107477785,1.7099735140295536,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.6,True,True,2.4321417179467733,0.10954921338073897,0.5369471430625368,1.6713173800050208e-10,54.977545394902,1.7401853458158072,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.4,True,True,2.432141717947092,0.11636828138732072,0.44118591736884716,1.7753512340426172e-10,58.39971164613873,1.7664107027493865,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.3,True,True,2.432141717947216,0.11922532237840562,0.38298961302863954,1.818939153265458e-10,59.83352477846901,1.776944587778514,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.2,True,True,2.432141717947015,0.1214392442259915,0.3133193456579752,1.8527154438264446e-10,60.94458696797515,1.7849351381031187,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.1,True,True,2.4321417179477107,0.12413446597464574,0.22309441310919145,1.893834597605468e-10,62.29719071070618,1.7944684626086524,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.05,True,True,2.4321417179475815,0.18426096123247626,0.19239584307904015,2.811143388987673e-10,92.47182200617345,1.9660094147763083,False,True,True,False,FAIL_I4_TOO_LARGE,
0.5,0.02,True,True,2.4321417179467804,0.0003210261011140835,0.005046306448822613,4.897675534761512e-13,0.16110774785399712,-0.7928835733652232,True,True,True,True,,
1.0,1.0,True,True,2.432141717947166,0.08990861124731189,0.6783975025540718,1.371674154039326e-10,45.12086033024099,1.6543773718510426,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.8,True,True,2.432141717946759,0.09586947072936167,0.6133243845273575,1.4626149079226352e-10,48.11233249745511,1.6822564121139212,False,True,True,False,FAIL_I4_TOO_LARGE,
1.0,0.6,True,True,2.432141717946596,0.10165123382256686,0.5356485594135769,1.5508233107633195e-10,51.01392469616182,1.7076887367505302,False,True,True,False,FAIL_I4_TOO_LARGE,
