LR_sep,fw,I_4,M_eff,epsilon,X_ratio,log10_X_ratio
1.0,0.8,9.586947e-02,2.432142,0.613324,48.112332,1.682256
2.0,0.8,7.481567e-02,2.432142,0.607631,37.546429,1.574569
3.0,0.8,5.063058e-02,2.432142,0.598250,25.409085,1.404989
4.0,0.8,3.052795e-02,2.432142,0.585230,15.320529,1.185274
5.0,0.8,1.686722e-02,2.432142,0.568639,8.464858,0.927620
6.0,0.8,8.749207e-03,2.432142,0.548574,4.390811,0.642545
7.0,0.8,4.338129e-03,2.432142,0.525158,2.177101,0.337878
8.0,0.8,2.080577e-03,2.432142,0.498532,1.044143,0.018760
9.0,0.8,9.718523e-04,2.432142,0.468862,0.487726,-0.311824
10.0,0.8,4.436324e-04,2.432142,0.436333,0.222638,-0.652401
12.0,0.8,8.650832e-05,2.432142,0.363601,0.043414,-1.362366
15.0,0.8,6.256550e-06,2.432142,0.241324,0.003140,-2.503089
